,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
gasPrice-11,7.02,7.05,7.1,7.09,7.13,7.03,7.04,7.14,7.05,7.09,7.02,7.04,7.09,7.15,7.01,7.1,7.2,7.08,7.13,7.13,7.17,7.06,7.09,7.09,7.15,7.11,7.01,7.06,7.1,7.08,7.19,7.06,7.16,7.17,7.17,7,7.16,7.11,7.06,7.03,7.18,7.14,7.09,7.03,7.18,7.12,7.04,7.1,7.08,7.03,7.06,7.07,7.07,7.2,7,7.1,7,7.2,7.19,7.19,7.09,7.07,7.17,7.17,7.14,7.15
gasPrice-12,7.02,7.06,7.13,7.07,7.1,7.09,7.1,7.06,7.12,7.04,7.15,7.08,7.18,7.18,7.04,7.19,7.06,7.04,7.18,7.19,7.11,7.06,7.13,7.11,7.05,7.1,7.02,7.13,7.03,7.14,7.11,7.06,7.14,7.15,7.14,7.15,7.13,7.07,7.09,7.16,7.09,7.14,7.17,7,7.02,7.02,7.14,7.01,7.19,7.05,7.12,7.16,7.02,7.12,7.05,7.07,7.13,7.12,7.06,7.18,7.18,7.1,7,7.05,7.18,7.11
gasPrice-13,7.02,7.04,7.17,7.08,7.09,7.12,7.2,7.01,7.09,7.06,7.1,7.06,7.17,7.01,7.15,7.01,7.01,7.02,7.15,7.15,7.08,7.2,7.15,7.02,7.07,7.03,7.1,7.11,7.06,7.06,7.07,7.1,7.04,7.07,7,7.19,7.18,7.14,7.02,7.14,7.03,7.03,7.03,7.01,7.13,7.03,7.02,7.05,7.07,7.17,7.08,7.08,7.11,7.19,7.01,7.04,7.02,7.03,7.01,7.11,7.09,7.19,7.01,7.15,7.08,7.01
gasPrice-14,7.02,7.13,7.18,7.16,7.09,7.04,7.12,7.06,7.09,7.14,7.18,7.06,7.14,7.14,7.17,7,7.15,7.11,7.01,7.16,7.11,7.09,7.17,7.13,7.04,7.04,7.08,7.03,7.07,7.1,7.17,7.19,7.1,7.19,7.16,7.1,7.1,7.15,7.17,7.01,7.08,7.05,7.03,7.02,7.14,7.04,7.06,7.18,7.04,7.1,7.04,7.15,7.12,7.01,7.03,7.07,7.12,7.18,7.13,7.15,7.01,7.09,7.1,7.06,7.1,7.1
gasPrice-15,7.02,7.01,7.2,7.15,7.18,7.19,7.12,7.15,7.2,7.15,7.18,7.19,7.03,7.18,7.08,7.03,7.01,7.19,7.09,7.13,7.11,7.11,7.13,7.14,7.11,7.11,7.03,7.19,7.19,7.01,7.16,7.14,7.11,7.14,7.08,7,7.07,7.06,7.14,7.19,7.07,7.03,7.19,7.15,7.04,7.12,7.15,7.1,7.14,7.01,7.14,7.14,7.1,7.04,7.04,7.02,7.07,7.05,7.11,7.15,7.05,7.16,7.18,7.11,7.14,7.08
gasPrice-16,7.02,7.12,7.18,7.08,7.1,7.01,7.13,7.02,7.12,7.15,7.07,7.14,7.04,7.13,7.11,7.02,7.12,7.09,7.13,7.04,7.01,7.11,7.01,7.06,7.05,7.14,7.17,7.12,7.01,7.07,7.09,7.13,7,7,7.18,7.16,7.02,7.05,7.04,7.18,7.02,7.03,7.17,7.12,7.07,7.13,7.16,7.17,7.07,7.19,7.07,7.2,7.11,7.01,7.06,7.17,7.11,7.08,7.17,7.06,7.17,7.14,7.2,7.03,7.08,7.14
gasPrice-17,7.02,7.11,7.1,7.18,7.18,7.1,7.1,7.11,7.14,7.14,7.16,7.18,7.12,7.18,7.15,7.01,7.01,7.12,7.19,7.07,7.15,7.03,7.15,7.15,7.03,7.04,7.11,7.06,7.03,7.16,7.01,7.01,7.1,7.04,7.18,7.11,7.12,7.17,7.15,7.02,7.17,7.1,7.11,7.15,7.15,7.14,7.08,7.18,7.06,7.05,7.08,7.04,7.13,7.03,7.15,7.11,7.12,7.06,7.14,7.03,7.07,7,7.01,7.13,7.05,7.02
gasPrice-18,7.02,7,7.02,7.03,7.08,7.01,7.11,7.18,7.09,7.07,7.13,7.16,7.02,7.1,7.07,7.19,7.14,7,7.01,7.01,7.05,7.08,7.13,7.16,7.1,7.19,7.08,7.16,7.17,7.16,7.06,7.15,7.03,7.01,7.07,7.04,7.03,7.18,7.14,7.1,7.14,7.02,7.18,7.03,7.12,7.17,7.07,7.07,7.06,7.05,7.07,7.01,7.03,7.06,7.04,7.05,7.06,7.01,7.01,7.06,7.01,7.07,7.02,7.04,7.07,7.05
gasPrice-19,7.02,7.17,7.07,7.13,7.07,7.11,7.01,7.08,7,7.17,7.04,7.19,7.09,7.06,7.15,7.07,7.15,7.05,7.11,7.1,7.09,7.12,7.11,7.18,7.15,7.09,7.17,7.05,7.15,7.12,7.03,7,7.01,7.13,7.12,7.19,7.14,7.16,7.16,7.09,7.17,7.07,7.04,7.02,7.1,7.19,7.04,7.1,7.02,7.05,7.16,7.05,7.07,7.1,7.01,7.13,7.04,7.07,7.15,7.06,7.11,7.19,7.01,7.12,7.14,7.15
gasPrice-20,7.02,7.18,7.16,7.13,7,7.1,7.12,7.13,7.05,7.1,7.18,7.18,7.08,7.17,7.12,7.1,7.09,7,7.03,7,7.07,7.09,7.01,7.01,7.01,7.04,7,7.01,7.17,7.09,7.1,7.02,7.06,7.09,7.2,7.04,7.03,7.17,7.19,7.02,7.11,7.2,7.12,7.09,7.03,7.1,7.01,7.2,7.15,7.17,7.15,7.08,7.1,7.19,7.19,7.07,7.05,7.02,7.13,7.15,7.14,7.06,7.11,7.01,7.01,7.07
gasPrice-21,7.02,7.01,7.17,7.1,7.11,7.19,7.08,7.04,7.13,7.07,7.12,7.04,7.12,7.12,7.09,7.18,7.02,7.08,7.04,7.17,7.18,7.12,7.02,7.17,7.14,7.11,7.05,7.18,7.12,7.18,7.18,7.11,7.18,7.09,7.15,7.1,7.17,7.17,7.04,7.01,7.18,7.03,7.06,7.17,7.07,7.01,7.01,7.1,7.11,7.07,7.09,7.16,7.12,7.12,7.12,7.18,7.11,7.11,7.02,7.04,7.12,7.03,7.06,7.13,7.07,7.16
gasPrice-22,7.02,7.11,7.17,7.07,7.18,7.03,7.15,7.08,7.05,7.03,7.12,7.18,7.11,7.2,7.13,7.03,7.02,7.12,7.15,7.08,7.15,7.06,7,7.18,7.1,7.08,7,7.12,7.03,7.13,7.19,7.01,7.05,7.04,7.05,7.16,7.14,7.03,7.13,7.12,7.12,7.16,7.14,7.11,7.11,7.1,7.1,7.03,7.2,7.1,7.01,7.1,7.03,7.14,7.18,7.17,7.11,7.14,7.08,7.13,7.1,7.16,7.03,7.09,7,7.03
gasPrice-23,7.02,7.19,7.15,7.19,7.04,7.12,7.16,7.05,7.14,7.12,7.08,7.1,7.17,7.17,7,7.13,7.01,7.11,7.17,7.11,7.02,7.02,7.19,7.12,7.01,7.16,7.16,7.05,7.19,7.01,7.02,7.04,7.07,7.12,7.08,7.05,7.15,7.1,7.01,7.16,7.16,7.04,7.17,7.03,7.08,7.06,7.14,7.1,7.03,7.06,7.02,7.13,7.09,7.17,7.16,7.06,7.15,7.02,7.14,7.02,7.1,7.06,7.03,7.11,7.11,7.07
gasPrice-24,7.02,7.07,7.11,7.12,7.16,7.02,7.05,7,7.13,7.16,7.01,7.14,7.01,7.08,7.17,7.16,7.14,7.08,7.16,7.18,7.18,7.19,7.05,7.18,7.05,7.14,7.15,7.1,7.01,7.17,7.1,7.1,7.1,7.16,7,7.01,7.1,7.13,7.16,7.19,7.18,7.1,7.15,7.16,7.18,7.08,7.13,7.11,7.12,7.04,7.17,7.09,7.01,7.08,7.03,7.06,7.1,7.01,7.1,7.1,7.15,7.03,7.01,7.03,7.18,7.03
gasPrice-25,7.02,7.03,7.08,7.02,7.16,7.11,7.15,7.17,7.13,7.17,7.08,7.04,7.01,7.03,7.02,7.15,7.1,7.06,7.04,7.07,7.12,7.13,7.17,7.01,7.01,7.1,7.08,7.2,7.18,7.13,7.03,7.07,7.15,7.06,7.19,7.02,7.01,7.09,7.03,7.08,7.01,7.14,7.01,7.08,7.01,7.06,7.19,7.14,7.14,7.09,7.2,7.11,7.04,7.01,7.14,7.1,7.01,7.19,7.05,7.15,7.09,7.16,7.15,7.02,7.17,7.04
gasPrice-26,7.02,7.16,7.01,7,7.02,7.03,7.14,7.11,7.08,7.05,7.02,7.17,7.08,7.07,7.18,7.04,7.19,7.08,7.16,7.06,7.1,7.09,7.16,7.17,7.11,7.01,7.01,7,7.03,7.01,7.1,7.04,7.05,7.2,7.14,7.18,7.15,7.09,7.04,7.16,7.13,7.07,7.16,7.05,7.12,7.18,7.01,7.04,7.18,7.1,7.17,7.01,7.08,7.19,7.14,7.15,7.15,7.11,7.04,7.2,7.13,7.07,7.16,7.19,7.03,7.01
gasPrice-27,7.02,7.01,7.18,7.13,7.19,7.04,7.1,7.1,7.08,7.12,7.06,7.19,7.15,7.11,7.19,7.1,7.09,7.12,7.15,7.08,7.18,7.07,7.03,7.08,7.12,7.04,7.13,7.12,7.11,7.09,7.17,7.1,7.04,7.13,7.17,7.11,7.15,7.14,7.08,7.08,7.13,7.12,7.02,7.17,7.2,7.03,7.13,7.15,7.16,7.12,7.08,7.02,7.06,7.18,7.09,7.09,7.14,7.09,7.13,7.15,7.17,7.18,7.08,7.02,7.07,7.05
gasPrice-28,7.02,7.12,7.06,7.18,7.06,7.17,7,7.18,7.04,7.17,7.11,7.09,7.1,7.18,7.08,7.06,7.15,7.09,7.07,7.14,7.07,7.06,7.01,7.1,7.19,7.1,7.18,7.01,7.01,7.15,7,7.16,7.05,7.03,7.18,7.13,7.19,7.12,7.18,7.18,7.09,7.15,7.06,7.17,7.01,7.18,7.07,7.1,7.17,7.19,7.14,7.08,7.04,7.17,7.14,7.03,7,7.07,7.02,7.05,7,7.02,7.04,7.01,7.11,7.19
gasPrice-29,7.02,7.09,7.02,7.17,7.03,7.14,7,7.09,7.01,7.2,7.06,7.09,7.11,7.08,7.18,7.11,7.04,7.1,7.11,7.14,7.03,7.03,7.17,7.14,7.06,7.18,7.06,7.06,7.03,7.16,7.18,7.18,7.19,7.19,7.1,7.13,7.01,7.17,7.01,7.15,7.03,7.07,7.16,7.08,7.07,7.09,7.12,7.12,7.19,7.18,7.1,7.15,7.19,7.1,7.07,7.17,7.09,7.17,7.14,7.07,7.13,7.03,7.18,7.16,7.04,7.17
gasPrice-30,7.02,7.02,7.02,7.19,7.15,7.01,7.15,7.04,7.14,7.13,7.08,7.02,7.14,7.16,7.16,7.11,7.11,7.17,7.02,7.12,7.11,7.07,7.06,7.11,7.07,7.02,7.04,7.04,7.03,7.16,7.11,7.17,7.04,7.19,7.14,7.16,7.15,7.01,7.08,7.17,7.04,7.05,7.11,7.1,7.02,7.16,7.19,7.08,7.01,7.18,7.17,7.17,7.11,7.14,7.14,7.15,7.18,7.01,7.12,7.06,7.19,7.12,7.06,7.18,7.05,7.16
gasPrice-31,7.02,7.17,7.09,7.09,7.01,7.02,7.11,7.1,7.08,7.17,7.2,7.06,7.09,7.19,7.13,7.04,7.01,7.07,7.19,7.19,7.01,7.09,7.03,7.01,7.02,7.04,7.19,7.04,7.08,7.04,7,7.09,7.07,7.11,7.17,7.1,7.13,7.03,7.09,7.03,7.17,7.15,7.12,7.13,7.19,7.04,7.06,7.04,7.09,7.01,7.05,7.01,7.1,7.12,7.15,7.09,7.14,7.14,7.14,7.11,7.13,7.02,7.14,7.2,7.12,7.18
gasPrice-32,7.02,7.05,7,7.09,7.08,7.13,7.01,7.08,7.14,7.2,7.08,7.15,7.19,7.07,7.08,7.14,7.12,7.09,7.15,7.03,7.12,7.16,7.16,7.1,7.11,7.03,7.02,7.05,7.08,7.13,7.12,7.19,7.15,7.08,7.03,7.2,7.09,7.04,7.04,7.1,7.05,7.1,7.18,7.12,7.16,7.03,7.1,7.14,7.19,7.08,7.14,7.04,7.17,7.18,7.13,7.15,7.15,7.08,7.08,7.01,7.04,7.11,7.16,7.18,7.2,7.02
gasPrice-33,7.02,7.09,7.02,7.09,7.11,7.05,7.15,7.07,7.02,7.13,7.15,7.03,7.16,7.1,7.01,7.01,7.16,7.19,7.13,7.16,7.05,7.07,7.18,7,7.09,7.12,7.12,7.17,7.18,7.14,7.02,7.03,7.2,7.12,7.17,7.16,7.11,7.07,7,7.12,7.14,7.06,7.09,7.12,7.06,7.13,7.01,7.13,7.16,7.14,7.16,7.11,7.08,7.14,7.05,7.17,7.18,7.09,7.17,7.09,7.08,7.01,7,7.18,7.09,7.12
gasPrice-34,7.02,7.12,7.16,7.05,7.03,7.19,7.01,7.03,7.09,7,7.09,7.2,7.2,7.12,7.14,7.16,7.15,7.17,7.02,7.03,7.11,7.09,7.14,7.03,7.02,7.14,7.15,7.15,7.16,7.07,7.11,7.02,7.02,7.1,7.17,7.03,7.14,7.09,7.15,7.17,7.12,7.14,7.19,7.03,7.05,7.05,7.15,7.06,7.13,7.13,7.03,7.15,7.14,7.1,7.02,7.13,7.06,7.08,7.08,7.12,7.01,7.02,7.01,7.09,7.07,7.12
gasPrice-35,7.02,7.13,7.12,7.2,7.09,7.07,7.15,7.15,7.07,7.02,7.01,7.02,7.17,7.05,7.12,7.05,7.03,7,7.04,7.17,7.12,7.07,7.17,7.02,7.17,7.14,7.11,7.14,7.17,7.01,7.11,7.15,7.1,7.18,7,7.19,7.03,7.06,7.17,7.1,7.19,7.01,7.18,7.04,7.19,7.16,7.08,7.13,7.02,7.13,7.14,7.18,7.04,7.08,7.18,7.1,7,7.07,7.15,7.1,7.19,7.09,7.13,7.08,7.06,7.14
gasPrice-36,7.02,7.1,7.16,7.1,7.12,7.05,7.02,7.03,7.1,7.09,7.02,7.15,7.1,7.09,7.12,7.13,7.04,7.05,7.11,7.1,7.18,7.04,7.08,7.09,7.01,7.15,7.16,7.18,7.01,7.13,7.11,7.1,7.17,7.17,7.15,7.12,7.1,7.06,7.16,7.19,7.19,7.16,7.05,7,7.11,7.11,7.1,7.12,7.17,7.06,7.17,7.19,7.02,7.16,7.02,7.07,7.07,7.19,7.05,7.07,7.03,7.18,7.09,7.04,7.05,7.09
gasPrice-37,7.02,7.03,7.1,7.16,7.18,7.16,7.12,7.09,7.09,7.03,7.17,7.08,7.12,7.05,7.04,7.04,7.01,7.13,7.19,7.14,7.04,7.18,7.05,7.1,7.04,7.08,7.17,7.01,7.18,7.16,7.18,7.05,7.09,7.13,7.05,7.12,7.08,7.08,7.15,7.02,7.07,7.17,7.18,7.11,7.13,7.01,7.06,7.02,7.11,7.2,7.07,7.04,7.01,7.13,7.1,7.11,7.17,7.15,7.01,7.02,7.17,7.19,7.15,7.1,7.16,7.19
gasPrice-38,7.02,7.11,7.11,7.18,7.02,7.07,7.03,7.17,7.07,7.19,7.01,7.14,7.14,7.2,7.06,7.13,7.04,7.08,7.09,7.17,7.19,7.01,7.18,7.07,7.17,7.03,7.04,7.03,7.17,7.11,7.06,7.04,7.07,7.12,7.16,7.18,7.05,7.14,7.07,7.14,7.16,7.17,7.07,7.04,7.19,7.19,7.12,7.18,7.04,7.17,7.03,7.09,7.14,7.03,7.18,7,7.19,7.07,7.18,7.18,7.15,7.18,7.06,7.04,7.07,7.1
gasPrice-39,7.02,7.15,7.1,7.12,7.04,7.16,7.09,7.13,7.13,7.16,7.05,7.17,7.16,7.1,7.04,7.08,7.05,7.15,7.15,7.04,7.09,7.05,7.09,7.18,7.1,7.08,7.18,7.04,7.11,7.11,7.12,7.05,7.1,7.1,7.04,7.06,7.09,7.14,7.09,7.14,7.11,7.19,7.12,7.08,7.12,7.16,7.17,7.03,7.16,7.1,7.01,7.02,7.11,7.12,7.03,7.01,7.19,7.11,7.05,7.04,7.03,7.06,7.03,7.05,7.11,7.15
gasPrice-40,7.02,7.06,7.13,7.14,7.19,7.06,7.01,7.06,7.09,7.12,7.01,7.15,7.01,7,7.14,7.09,7.18,7.01,7.12,7.07,7.08,7.06,7,7.15,7.15,7.2,7.11,7.04,7.05,7.09,7.05,7.15,7.19,7.11,7.03,7.09,7.19,7.05,7.14,7.17,7.01,7.11,7.16,7.17,7.07,7.01,7.1,7.11,7.06,7.01,7.06,7.15,7.01,7.17,7.2,7.04,7.2,7.04,7.1,7.01,7.13,7.07,7.17,7.08,7.01,7.06
