hour,nl_node_PV,nl_node_OffW,nl_node_OnW,de_node_PV,de_node_OffW,de_node_OnW,fr_node_PV,fr_node_OffW,fr_node_OnW,be_node_PV,be_node_OffW,be_node_OnW,uk_node_PV,uk_node_OffW,uk_node_OnW
26,0,0.0044899,0.0482497,0.000000968,0.15979,0.0660058,0.00000246,0.0585185,0.0695174,0,0.137719,0.0453716,0.00000244,0.192445,0.142093
27,0,0.017928,0.0384184,0.000000645,0.140033,0.0641285,0.00000164,0.0846544,0.0601634,0,0.202368,0.0485209,0.00000162,0.279733,0.163604
28,0,0.065842,0.0318714,0.000000323,0.121321,0.0622938,0.00000082,0.114982,0.0518956,0,0.275175,0.0519098,0.000000812,0.375525,0.186424
29,0,0.065842,0.0318714,0,0.121321,0.0622938,0,0.114982,0.0518956,0,0.275175,0.0519098,0,0.375525,0.186424
30,0.0010738,0.0758654,0.0287841,0.0017244,0.10999,0.059137,0.0037872,0.123046,0.0501911,0.0019543,0.297078,0.0653087,0.0003847,0.383473,0.192095
31,0.0021475,0.0865266,0.0278742,0.0034488,0.0991298,0.0561181,0.0075744,0.131332,0.0485445,0.0039086,0.319416,0.0812903,0.0007693,0.39145,0.197832
32,0.0032213,0.0865266,0.0278742,0.0051733,0.0991298,0.0561181,0.0113617,0.131332,0.0485445,0.005863,0.319416,0.0812903,0.001154,0.39145,0.197832
33,0.0165078,0.0775926,0.0316814,0.0234628,0.103157,0.0511554,0.0487386,0.107047,0.0538498,0.0291226,0.305265,0.0994061,0.0179443,0.335977,0.200275
34,0.0297944,0.0690993,0.0421689,0.0417524,0.107252,0.0466371,0.0861154,0.0848956,0.0597034,0.0523823,0.291279,0.119672,0.0347347,0.2825,0.202729
35,0.0430809,0.0690993,0.0421689,0.0600419,0.107252,0.0466371,0.123492,0.0848956,0.0597034,0.075642,0.291279,0.119672,0.0515251,0.2825,0.202729
36,0.0432523,0.0827445,0.038814,0.0637797,0.105936,0.042903,0.139013,0.075009,0.0655156,0.0832457,0.317814,0.124922,0.058577,0.294718,0.203609
37,0.0434237,0.0974733,0.0358871,0.0675175,0.104627,0.03956,0.154534,0.0656802,0.0717585,0.0908495,0.3449,0.130286,0.0656289,0.307072,0.204491
38,0.0435951,0.0974733,0.0358871,0.0712553,0.104627,0.03956,0.170055,0.0656802,0.0717585,0.0984532,0.3449,0.130286,0.0726808,0.307072,0.204491
39,0.0329018,0.158292,0.0408514,0.0546975,0.189552,0.0408027,0.13416,0.0772478,0.0727648,0.0762125,0.369013,0.149287,0.0568655,0.369792,0.222138
40,0.0222084,0.229773,0.0469254,0.0381397,0.291168,0.0421044,0.098265,0.0896544,0.0737811,0.0539719,0.393428,0.169471,0.0410501,0.43459,0.240289
41,0.0115151,0.229773,0.0469254,0.0215818,0.291168,0.0421044,0.0623698,0.0896544,0.0737811,0.0317312,0.393428,0.169471,0.0252347,0.43459,0.240289
42,0.0076906,0.273993,0.0443526,0.0144313,0.319184,0.0446674,0.0426838,0.113365,0.0840918,0.0212513,0.470966,0.194983,0.0170823,0.440932,0.223222
43,0.0038662,0.320355,0.041955,0.0072808,0.347809,0.0474275,0.0229978,0.139353,0.0952868,0.0107715,0.549163,0.221863,0.0089299,0.447282,0.206598
44,0.0000418,0.320355,0.041955,0.0001303,0.347809,0.0474275,0.0033118,0.139353,0.0952868,0.0002917,0.549163,0.221863,0.0007774,0.447282,0.206598
45,0.0000287,0.289059,0.0639802,0.0000874,0.36142,0.0448512,0.0022092,0.186706,0.1066,0.0001959,0.495774,0.237686,0.0005189,0.495245,0.186355
46,0.0000156,0.258658,0.0947748,0.0000446,0.375132,0.0424455,0.0011065,0.238837,0.118622,0.0001001,0.442436,0.253862,0.0002604,0.543254,0.166958
47,0.00000258,0.258658,0.0947748,0.00000178,0.375132,0.0424455,0.00000381,0.238837,0.118622,0.0000043,0.442436,0.253862,0.00000195,0.543254,0.166958
48,0.00000172,0.241514,0.134341,0.00000118,0.373245,0.0405185,0.00000254,0.255618,0.125156,0.00000287,0.317931,0.247779,0.0000013,0.530652,0.150201
49,0.000000861,0.224744,0.180672,0.000000592,0.37136,0.0387209,0.00000127,0.272738,0.131867,0.00000143,0.204502,0.241743,0.00000065,0.518033,0.13426
50,0,0.224744,0.180672,0,0.37136,0.0387209,0,0.272738,0.131867,0,0.204502,0.241743,0,0.518033,0.13426
51,0,0.329195,0.223347,0,0.355499,0.042792,0,0.283382,0.122035,0,0.237906,0.204096,0,0.466002,0.131525
52,0,0.442122,0.269083,0,0.339781,0.0474649,0,0.294137,0.112594,0,0.27287,0.168895,0,0.414311,0.128818
53,0,0.442122,0.269083,0,0.339781,0.0474649,0,0.294137,0.112594,0,0.27287,0.168895,0,0.414311,0.128818
54,0.001359,0.434856,0.238089,0.0028937,0.255571,0.0462541,0.0018724,0.259927,0.111444,0.0010272,0.35165,0.137875,0.0003509,0.365371,0.124543
55,0.002718,0.427603,0.208365,0.0057873,0.179067,0.0450792,0.0037448,0.227011,0.110299,0.0020544,0.434326,0.109903,0.0007017,0.31767,0.120341
56,0.004077,0.427603,0.208365,0.008681,0.179067,0.0450792,0.0056171,0.227011,0.110299,0.0030816,0.434326,0.109903,0.0010526,0.31767,0.120341
57,0.0255233,0.336598,0.154694,0.0283708,0.136088,0.0447432,0.0225119,0.293396,0.103705,0.0233849,0.427478,0.0918062,0.0192604,0.278074,0.112377
58,0.0469695,0.250859,0.108375,0.0480605,0.0979518,0.0444103,0.0394066,0.364093,0.0973382,0.0436881,0.420641,0.075654,0.0374681,0.240009,0.104706
59,0.0684158,0.250859,0.108375,0.0677503,0.0979518,0.0444103,0.0563014,0.364093,0.0973382,0.0639914,0.420641,0.075654,0.0556759,0.240009,0.104706
60,0.0727478,0.163384,0.061927,0.0687348,0.0532315,0.0336046,0.0681072,0.389326,0.0858085,0.0716449,0.335072,0.0638686,0.067423,0.19402,0.0957816
61,0.0770798,0.0909265,0.034211,0.0697194,0.0218254,0.0283312,0.0799131,0.414832,0.0751861,0.0792984,0.25422,0.0535987,0.0791702,0.151598,0.0873242
62,0.0814119,0.0909265,0.034211,0.0707039,0.0218254,0.0283312,0.091719,0.414832,0.0751861,0.0869519,0.25422,0.0535987,0.0909173,0.151598,0.0873242
63,0.062447,0.0595119,0.0332165,0.0537254,0.0258484,0.0320764,0.072803,0.447677,0.101352,0.0675112,0.184384,0.0549266,0.0720354,0.109572,0.0781153
64,0.0434821,0.0344646,0.032304,0.0367469,0.0302512,0.0393975,0.053887,0.480732,0.132121,0.0480704,0.123042,0.0562848,0.0531535,0.0734444,0.0695874
65,0.0245172,0.0344646,0.032304,0.0197684,0.0302512,0.0393975,0.034971,0.480732,0.132121,0.0286297,0.123042,0.0562848,0.0342716,0.0734444,0.0695874
66,0.0164011,0.0183287,0.0284285,0.0132172,0.0503871,0.0355358,0.023702,0.494788,0.16015,0.0191964,0.0993707,0.0535113,0.023258,0.0836658,0.0755986
67,0.008285,0.008047,0,0.006666,0.0754806,0.0324333,0.0124331,0.508848,0.190536,0.0097632,0.0779052,0.0508687,0.0122444,0.0944744,0.0819602
68,0.0001689,0.008047,0.0416649,0.0001148,0.0754806,0.0324333,0.0011641,0.508848,0.190536,0.0003299,0.0779052,0.0508687,0.0012307,0.0944744,0.0819602
69,0.0001177,0.0041037,0.0389165,0.0000784,0.0900797,0.0302245,0.0007784,0.493418,0.194748,0.0002218,0.0271373,0.0376971,0.0008221,0.079885,0.073661
70,0.0000665,0,0,0.0000421,0.105797,0.0287298,0.0003926,0.477994,0.198996,0.0001138,0.0046806,0.0299154,0.0004135,0.0664015,0.0659742
71,0.0000154,0.0104415,0.0364838,0.00000576,0.105797,0.0287298,0.00000682,0.477994,0.198996,0.00000569,0.0046806,0.0299154,0.00000483,0.0664015,0.0659742
72,0.0000128,0.0041982,0.0324496,0.00000481,0.160165,0.0329035,0.0000057,0.429547,0.187232,0.00000475,0.0042018,0.0283228,0.00000403,0.0707492,0.0653676
73,0.0000103,0.006948,0.0749358,0.00000386,0.222706,0.0403618,0.00000457,0.381709,0.175756,0.00000381,0.0065865,0.0278771,0.00000323,0.0752229,0.0647653
74,0.00000775,0.006948,0.0749358,0.0000029,0.222706,0.0403618,0.00000344,0.381709,0.175756,0.00000287,0.0065865,0.0278771,0.00000244,0.0752229,0.0647653
75,0.00000516,0.019367,0.101842,0.00000194,0.316553,0.0410633,0.0000023,0.352949,0.177583,0.00000191,0.004788,0.0280797,0.00000162,0.1041,0.0655878
76,0.00000258,0.0407528,0.133599,0.000000968,0.417874,0.0417829,0.00000115,0.324666,0.179418,0.000000956,0.0040668,0.0285564,0.000000812,0.136875,0.0664184
77,0,0.0407528,0.133599,0,0.417874,0.0417829,0,0.324666,0.179418,0,0.0040668,0.0285564,0,0.136875,0.0664184
78,0.0017162,0.065119,0.171378,0.0035796,0.449156,0.0544402,0.0021727,0.332054,0.175733,0.0027743,0.0146188,0.0291466,0.0004486,0.16599,0.0716106
79,0.0034325,0.0947092,0.213078,0.0071591,0.480624,0.0707188,0.0043454,0.339481,0.172081,0.0055487,0.0460982,0.0299216,0.0008973,0.197161,0.0770896
80,0.0051487,0.0947092,0.213078,0.0107387,0.480624,0.0707188,0.0065181,0.339481,0.172081,0.008323,0.0460982,0.0299216,0.0013459,0.197161,0.0770896
81,0.0269861,0.11175,0.258354,0.037826,0.465629,0.0828984,0.0325844,0.335861,0.162784,0.0394903,0.0750459,0.0288496,0.0210269,0.216073,0.0799884
82,0.0488234,0.129954,0.306153,0.0649133,0.450662,0.0963669,0.0586508,0.33225,0.153714,0.0706575,0.110251,0.0281718,0.0407079,0.235556,0.0829587
83,0.0706608,0.129954,0.306153,0.0920006,0.450662,0.0963669,0.0847171,0.33225,0.153714,0.101825,0.110251,0.0281718,0.0603889,0.235556,0.0829587
84,0.0700934,0.136897,0.306408,0.0956405,0.406547,0.109725,0.0973635,0.279664,0.124761,0.103879,0.133226,0.0283874,0.0691852,0.224929,0.0755336
85,0.0695261,0.143983,0.306663,0.0992805,0.363109,0.124037,0.11001,0.229721,0.0988836,0.105933,0.157913,0.0286611,0.0779814,0.214464,0.0685824
86,0.0689587,0.143983,0.306663,0.102921,0.363109,0.124037,0.122657,0.229721,0.0988836,0.107988,0.157913,0.0286611,0.0867777,0.214464,0.0685824
87,0.0518631,0.153665,0.241496,0.0787022,0.297597,0.131324,0.0970882,0.207438,0.0952963,0.0821114,0.195358,0.0286008,0.0681802,0.231488,0.0800719
88,0.0347675,0.163587,0.181608,0.0544839,0.235699,0.138817,0.0715199,0.185946,0.0917874,0.0562353,0.235521,0.0344196,0.0495827,0.248925,0.0927772
89,0.0176719,0.163587,0.181608,0.0302656,0.235699,0.138817,0.0459516,0.185946,0.0917874,0.0303592,0.235521,0.0344196,0.0309851,0.248925,0.0927772
90,0.0118159,0.141058,0.138133,0.0202408,0.222921,0.135697,0.0314411,0.213507,0.0987672,0.0203618,0.249781,0.0456755,0.0210609,0.259522,0.112331
91,0.0059598,0.119867,0.100434,0.0102161,0.21038,0.132611,0.0169306,0.242324,0.106046,0.0103644,0.264296,0.0619375,0.0111367,0.27025,0.133922
92,0.0001038,0.119867,0.100434,0.0001914,0.21038,0.132611,0.00242,0.242324,0.106046,0.0003669,0.264296,0.0619375,0.0012125,0.27025,0.133922
93,0.0000692,0.145191,0.108712,0.0001286,0.241435,0.129275,0.0016149,0.226424,0.0922374,0.0002475,0.25582,0.0726586,0.0008094,0.286402,0.136065
94,0.0000346,0.172377,0.117351,0.0000657,0.273799,0.125982,0.0008098,0.21088,0.07958,0.000128,0.247428,0.0846472,0.0004064,0.302807,0.138224
95,0,0.172377,0.117351,0.00000288,0.273799,0.125982,0.00000463,0.21088,0.07958,0.00000853,0.247428,0.0846472,0.00000338,0.302807,0.138224
96,0,0.226275,0.14618,0.0000024,0.321567,0.125715,0.00000387,0.166985,0.0698194,0.00000712,0.208992,0.0796296,0.00000282,0.315281,0.142929
97,0,0.284757,0.177941,0.00000193,0.371107,0.125448,0.0000031,0.127044,0.0609722,0.00000571,0.17283,0.0748143,0.00000226,0.327877,0.147709
98,0,0.284757,0.177941,0.00000145,0.371107,0.125448,0.00000234,0.127044,0.0609722,0.0000043,0.17283,0.0748143,0.00000171,0.327877,0.147709
99,0,0.280229,0.18227,0.000000968,0.381968,0.122965,0.00000156,0.0892759,0.0556242,0.00000287,0.164438,0.067293,0.00000114,0.339041,0.150764
100,0,0.275722,0.186642,0.000000484,0.392883,0.120508,0.000000779,0.0574907,0.0507087,0.00000143,0.156205,0.0603609,0.000000568,0.350287,0.153847
101,0,0.275722,0.186642,0,0.392883,0.120508,0,0.0574907,0.0507087,0,0.156205,0.0603609,0,0.350287,0.153847
102,0.0004449,0.287839,0.206101,0.0042798,0.381208,0.112122,0.0023342,0.0461957,0.0465225,0.0015132,0.179317,0.0548828,0.0002934,0.357705,0.149672
103,0.0008898,0.300095,0.22627,0.0085596,0.369596,0.104062,0.0046684,0.0361202,0.0427331,0.0030264,0.203569,0.0498698,0.0005868,0.365155,0.14555
104,0.0013348,0.300095,0.22627,0.0128393,0.369596,0.104062,0.0070025,0.0361202,0.0427331,0.0045397,0.203569,0.0498698,0.0008802,0.365155,0.14555
105,0.0096276,0.334327,0.256927,0.039142,0.396107,0.103046,0.0324859,0.0385461,0.0404068,0.0292481,0.205187,0.0463011,0.0124604,0.344102,0.144445
106,0.0179204,0.369374,0.28873,0.0654447,0.4229,0.102036,0.0579692,0.0410523,0.0382684,0.0539566,0.20681,0.043028,0.0240407,0.323324,0.143345
107,0.0262132,0.369374,0.28873,0.0917473,0.4229,0.102036,0.0834525,0.0410523,0.0382684,0.078665,0.20681,0.043028,0.0356209,0.323324,0.143345
108,0.0297313,0.391644,0.309401,0.0932981,0.419058,0.0945512,0.0964416,0.0464957,0.0320839,0.0882542,0.216383,0.0363817,0.0430268,0.297206,0.1416
109,0.0332493,0.414121,0.330387,0.0948489,0.41522,0.0874039,0.109431,0.0522722,0.0286097,0.0978434,0.226101,0.0315827,0.0504327,0.27168,0.139866
110,0.0367673,0.414121,0.330387,0.0963997,0.41522,0.0874039,0.12242,0.0522722,0.0286097,0.107433,0.226101,0.0315827,0.0578385,0.27168,0.139866
111,0.0286032,0.349184,0.28817,0.0733582,0.385906,0.0849938,0.0969179,0.0629171,0.0283184,0.0835475,0.213428,0.0289499,0.0457738,0.282887,0.154837
112,0.020439,0.286714,0.247489,0.0503166,0.356965,0.0826264,0.0714161,0.0744782,0.0280991,0.0596624,0.201005,0.0278887,0.0337091,0.294218,0.17049
113,0.0122749,0.286714,0.247489,0.0272751,0.356965,0.0826264,0.0459142,0.0744782,0.0280991,0.0357774,0.201005,0.0278887,0.0216443,0.294218,0.17049
114,0.008222,0.260412,0.240417,0.0182423,0.331414,0.0864714,0.031366,0.133375,0.0313686,0.0240237,0.227436,0.0295633,0.014669,0.302656,0.197623
115,0.0041691,0.234876,0.233411,0.0092094,0.30631,0.0904274,0.0168178,0.205325,0.0383274,0.01227,0.254907,0.0338395,0.0076937,0.311156,0.226271
116,0.0001162,0.234876,0.233411,0.0001766,0.30631,0.0904274,0.0022695,0.205325,0.0383274,0.0005164,0.254907,0.0338395,0.0007184,0.311156,0.226271
117,0.0000778,0.237053,0.232015,0.00012,0.281112,0.0840192,0.0015149,0.240403,0.0404537,0.0003467,0.282517,0.0348194,0.0004816,0.335459,0.237074
118,0.0000394,0.239236,0.230621,0.0000634,0.256529,0.0779108,0.0007604,0.277173,0.0427648,0.0001771,0.310898,0.0358706,0.0002449,0.360166,0.248042
119,0.00000103,0.239236,0.230621,0.00000686,0.256529,0.0779108,0.00000581,0.277173,0.0427648,0.00000741,0.310898,0.0358706,0.00000822,0.360166,0.248042
120,0.000000689,0.226644,0.205428,0.00000549,0.23221,0.0611543,0.00000469,0.242333,0.0511142,0.00000589,0.302064,0.0379345,0.00000662,0.396241,0.256306
121,0.000000344,0.214277,0.181338,0.00000411,0.208685,0.0475339,0.00000358,0.208996,0.0611394,0.00000438,0.293296,0.0402221,0.00000501,0.432839,0.264652
122,0,0.214277,0.181338,0.00000274,0.208685,0.0475339,0.00000246,0.208996,0.0611394,0.00000287,0.293296,0.0402221,0.00000341,0.432839,0.264652
123,0,0.203196,0.183301,0.00000183,0.160056,0.0418233,0.00000164,0.28354,0.073058,0.00000191,0.29766,0.0412027,0.00000227,0.478142,0.293445
124,0,0.192319,0.185272,0.000000914,0.116494,0.0370424,0.00000082,0.363997,0.0865489,0.000000956,0.30204,0.0422185,0.00000114,0.523613,0.322961
125,0,0.192319,0.185272,0,0.116494,0.0370424,0,0.363997,0.0865489,0,0.30204,0.0422185,0,0.523613,0.322961
126,0.0009349,0.159465,0.17707,0.0033809,0.112807,0.0319285,0.0033836,0.340939,0.0898533,0.0025853,0.261141,0.0405211,0.0001533,0.568559,0.331815
127,0.0018698,0.129005,0.169023,0.0067618,0.109169,0.0288402,0.0067672,0.318219,0.0932343,0.0051707,0.222063,0.038925,0.0003067,0.613005,0.340713
128,0.0028047,0.129005,0.169023,0.0101427,0.109169,0.0288402,0.0101508,0.318219,0.0932343,0.007756,0.222063,0.038925,0.00046,0.613005,0.340713
129,0.0179459,0.0870981,0.161446,0.0348949,0.11788,0.0280155,0.0443695,0.282913,0.0958118,0.0347125,0.167074,0.0416348,0.0112869,0.621738,0.335821
130,0.0330871,0.0526332,0.154022,0.0596471,0.126864,0.0279194,0.0785882,0.248789,0.0984309,0.061669,0.118168,0.0446223,0.0221138,0.630435,0.330941
131,0.0482283,0.0526332,0.154022,0.0843993,0.126864,0.0279194,0.112807,0.248789,0.0984309,0.0886254,0.118168,0.0446223,0.0329406,0.630435,0.330941
132,0.0550295,0.0429885,0.141679,0.0839885,0.0994238,0.0292578,0.124376,0.225014,0.0946013,0.0948097,0.0697075,0.0335928,0.0443885,0.612856,0.305173
133,0.0618307,0.0343182,0.129826,0.0835776,0.0749064,0.0324667,0.135946,0.202036,0.090862,0.100994,0.0332832,0.0282882,0.0558364,0.595144,0.2799
134,0.0686319,0.0343182,0.129826,0.0831668,0.0749064,0.0324667,0.147515,0.202036,0.090862,0.107178,0.0332832,0.0282882,0.0672843,0.595144,0.2799
135,0.05339,0.038703,0.127033,0.0627739,0.0914904,0.0307705,0.115772,0.211507,0.08295,0.082567,0.0085924,0.027972,0.0540907,0.587914,0.263165
136,0.0381481,0.0433561,0.12427,0.042381,0.109504,0.0294693,0.0840295,0.221124,0.0754994,0.0579557,0.0057173,0.0295661,0.0408971,0.580666,0.246736
137,0.0229063,0.0433561,0.12427,0.0219881,0.109504,0.0294693,0.0522868,0.221124,0.0754994,0.0333445,0.0057173,0.0295661,0.0277035,0.580666,0.246736
138,0.0153039,0.0199967,0.108572,0.014694,0.131478,0.0286553,0.0357447,0.294382,0.0771702,0.0223699,0.0098269,0.0287877,0.0188194,0.564294,0.247254
139,0.0077015,0.0067449,0.0940324,0.0073998,0.155041,0.0281294,0.0192027,0.372899,0.0788659,0.0113954,0.0391641,0.0282481,0.0099354,0.547858,0.247772
140,0.0000991,0.0067449,0.0940324,0.0001057,0.155041,0.0281294,0.0026606,0.372899,0.0788659,0.0004209,0.0391641,0.0282481,0.0010513,0.547858,0.247772
141,0.0000661,0.0056493,0.0971057,0.0000717,0.176552,0.0282645,0.0017764,0.380509,0.0761661,0.0002825,0.0852669,0.0278724,0.000702,0.515911,0.225013
142,0.000033,0.0048346,0.100237,0.0000378,0.199072,0.0284281,0.0008921,0.388147,0.0735305,0.0001441,0.146624,0.0283995,0.0003527,0.483908,0.203024
143,0,0.0048346,0.100237,0.00000384,0.199072,0.0284281,0.0000078,0.388147,0.0735305,0.00000569,0.146624,0.0283995,0.00000338,0.483908,0.203024
144,0,0.0042904,0.118458,0.0000032,0.239967,0.0278921,0.00000651,0.396455,0.0744489,0.00000475,0.17675,0.0278913,0.00000282,0.450985,0.177565
145,0,0.0040581,0.138281,0.00000257,0.283192,0.0280606,0.00000522,0.40479,0.0753753,0.00000381,0.208889,0.0280569,0.00000226,0.418258,0.153535
146,0,0.0040581,0.138281,0.00000194,0.283192,0.0280606,0.00000393,0.40479,0.0753753,0.00000287,0.208889,0.0280569,0.00000171,0.418258,0.153535
147,0,0.0046,0.136349,0.00000129,0.314895,0.0283149,0.00000262,0.440748,0.0757101,0.00000191,0.172845,0.0286814,0.00000114,0.418449,0.15456
148,0,0.0059675,0.13443,0.000000645,0.347407,0.0286736,0.00000131,0.476991,0.076046,0.000000956,0.13939,0.0297515,0.000000568,0.41864,0.155588
149,0,0.0059675,0.13443,0,0.347407,0.0286736,0,0.476991,0.076046,0,0.13939,0.0297515,0,0.41864,0.155588
150,0.0010772,0.0095573,0.117776,0.0032436,0.347728,0.028597,0.0032718,0.515716,0.0818887,0.0017039,0.145331,0.0291094,0.0004983,0.404739,0.147517
151,0.0021543,0.0149175,0.102276,0.0064871,0.348048,0.0285242,0.0065437,0.554361,0.0880177,0.0034078,0.151369,0.0286022,0.0009966,0.390907,0.139644
152,0.0032315,0.0149175,0.102276,0.0097307,0.348048,0.0285242,0.0098155,0.554361,0.0880177,0.0051117,0.151369,0.0286022,0.0014949,0.390907,0.139644
153,0.0206149,0.029748,0.102727,0.0344182,0.350856,0.0284972,0.0399609,0.524282,0.0824323,0.0302388,0.113602,0.0279071,0.0222918,0.337776,0.122541
154,0.0379982,0.050249,0.10318,0.0591058,0.353668,0.0284708,0.0701064,0.494125,0.077083,0.0553659,0.0804707,0.0280798,0.0430886,0.286455,0.106584
155,0.0553816,0.050249,0.10318,0.0837933,0.353668,0.0284708,0.100252,0.494125,0.077083,0.080493,0.0804707,0.0280798,0.0638855,0.286455,0.106584
156,0.0616519,0.0742643,0.0777751,0.0876877,0.301214,0.0278714,0.108182,0.454351,0.0740652,0.0907428,0.0452251,0.0293034,0.0770488,0.217888,0.0918946
157,0.0679222,0.102466,0.0570415,0.0915821,0.251041,0.0286538,0.116112,0.414843,0.0711314,0.100993,0.0200854,0,0.0902121,0.155897,0.0785084
158,0.0741926,0.102466,0.0570415,0.0954765,0.251041,0.0286538,0.124042,0.414843,0.0711314,0.111242,0.0200854,0.0362281,0.103375,0.155897,0.0785084
159,0.0575091,0.104857,0.0333151,0.073142,0.22886,0.0288635,0.096876,0.408172,0.0766157,0.0866307,0.011141,0.0363174,0.0820212,0.148473,0.095153
160,0.0408257,0.107271,0.0286446,0.0508075,0.207356,0.0290982,0.0697103,0.401515,0.0823831,0.0620189,0.0057314,0,0.060667,0.141191,0.11374
161,0.0241423,0.107271,0.0286446,0.028473,0.207356,0.0290982,0.0425446,0.401515,0.0823831,0.0374072,0.0057314,0.0364073,0.0393128,0.141191,0.11374
162,0.016161,0.12021,0.0323501,0.0190464,0.207417,0.0279839,0.029073,0.424779,0.077836,0.0251258,0.0156758,0.0278771,0.0267514,0.141594,0.11442
163,0.0081796,0.13375,0.0527432,0.0096198,0.207478,0.0280473,0.0156014,0.448196,0.0734621,0.0128445,0.0338908,0.0367775,0.01419,0.141997,0.115103
164,0.0001983,0.13375,0.0527432,0.0001932,0.207478,0.0280473,0.0021297,0.448196,0.0734621,0.0005632,0.0338908,0.0367775,0.0016287,0.141997,0.115103
165,0.0001356,0.139964,0.0503738,0.0001308,0.188842,0.0279708,0.0014219,0.460164,0.0736318,0.0003754,0.0610743,0.0438815,0.0010875,0.145698,0.109456
166,0.0000729,0.146288,0.0481141,0.0000684,0.170839,0.0279155,0.000714,0.472154,0.0738018,0.0001877,0.0956597,0.0528905,0.0005464,0.149436,0.103964
