hour,RESV,PHVT
248,0.06,0.116461
249,0.11,0.768069
250,0.54,0.418681
251,0.82,0.07036
252,0.75,0.770786
253,0.29,0.332465
254,0.76,0.703243
255,0.67,0.357995
256,0.31,0.328427
257,0.44,0.954575
258,0.51,0.218462
259,0.94,0.079436
260,0.72,0.215001
261,0.75,0.57338
262,0.46,0.759598
263,0.85,0.252774
264,0.69,0.286136
265,0.21,0.749701
266,0.9,0.808264
267,0.78,0.851964
268,0.1,0.05601
269,0.3,0.24912
270,0.51,0.242174
271,0.76,0.331073
272,0.81,0.864934
273,0.15,0.781686
274,0.72,0.882396
275,0.45,0.157088
276,0.6,0.609738
277,0.95,0.706273
278,0.61,0.174643
279,0.89,0.827006
280,0.87,0.994443
281,0.71,0.613225
282,0.76,0.806195
283,0.48,0.854326
284,0.04,0.084106
285,0.44,0.077027
286,0.74,0.717582
287,0.55,0.005882
288,0.3,0.659924
289,0.74,0.972057
290,0.69,0.718766
291,0.05,0.185831
292,0.99,0.997621
293,0.04,0.281708
294,0.42,0.103943
295,0.14,0.912083
296,0.72,0.958855
297,0.66,0.189551
298,0.59,0.650505
299,0.23,0.121068
300,0.82,0.158088
301,0.9,0.786433
302,0.29,0.846674
303,0.83,0.30934
304,0.46,0.003171
305,0.16,0.340659
306,0.96,0.297192
307,0.27,0.360965
308,0.59,0.711172
309,0.3,0.52245
310,0.26,0.260653
311,0.82,0.798965
312,0.69,0.975383
313,0.48,0.100231
314,0.93,0.343185
315,0.62,0.71768
316,0.29,0.499172
317,0.34,0.456461
318,0.33,0.617068
319,0.54,0.941842
320,0.34,0.803914
321,0.59,0.017738
322,0.62,0.218689
323,0.95,0.88368
324,0.21,0.357387
325,0.7,0.151116
326,0.92,0.948607
327,0.69,0.736267
328,0.02,0.639557
329,0.34,0.897464
330,0.93,0.363497
331,0.49,0.750568
332,0.71,0.248198
333,0.14,0.848088
334,0.34,0.558591
335,0.14,0.564857
336,0.69,0.554672
337,0.16,0.769507
338,0.61,0.950363
339,0.73,0.317118
340,0.66,0.037643
341,0.43,0.336894
342,0.99,0.220926
343,0.22,0.650562
344,0.94,0.114677
345,0.36,0.66667
346,0.29,0.127583
347,0.54,0.897548
348,0.29,0.13766
349,0.12,0.818882
350,0.41,0.875673
351,0.39,0.951353
352,0.92,0.551646
353,0.84,0.140419
354,0.59,0.681953
355,0.96,0.337686
356,0.29,0.540773
357,0.76,0.861267
358,0.04,0.038377
359,0.06,0.389891
360,0.83,0.34057
361,0.36,0.202014
362,0.6,0.509095
363,0.77,0.03886
364,0,0.829401
365,0.25,0.928273
366,0.16,0.890865
367,0.52,0.447054
368,0.65,0.231822
369,0.5,0.52884
370,0.07,0.932412
371,0.89,0.468536
372,0.09,0.640873
373,0.81,0.283382
374,0.92,0.987866
375,0.81,0.756977
376,0.91,0.547231
377,0.72,0.268519
378,0.05,0.915359
379,0.09,0.256747
380,0.82,0.571775
381,0.86,0.040953
382,0.37,0.220942
383,0.76,0.669995
384,0.28,0.566753
385,0.93,0.443755
386,0.57,0.251823
387,0.98,0.059419
388,0.73,0.685534
389,0.13,0.905415
390,0.43,0.14931
391,0.92,0.2058
392,0.05,0.404099
393,0.02,0.67824
394,0.64,0.509201
395,0.14,0.274774
396,0.75,0.282926
397,0.08,0.102932
398,0.18,0.72625
399,0.74,0.082271
400,0.91,0.340823
401,0.1,0.613915
402,0.31,0.793924
403,0.3,0.099243
404,0.84,0.918599
405,0.47,0.732606
406,0.19,0.645771
407,0.53,0.628039
408,0.5,0.511483
409,0.72,0.839653
410,0,0.086661
411,0.24,0.918856
412,0.23,0.746615
413,0.88,0.14531
414,0.66,0.899036
415,0.55,0.08461
416,0.54,0.113514
417,0.79,0.367716
418,0.07,0.97654
419,0.18,0.995882
420,0.33,0.703012
421,0.36,0.71902
422,0.44,0.461751
423,0.66,0.650401
424,0.07,0.081824
425,0.49,0.428135
426,0.37,0.665411
427,0.14,0.262157
428,0.04,0.435459
429,0.64,0.704531
430,0.46,0.759233
431,0.71,0.056618
432,0.86,0.26388
433,0.65,0.257818
434,0.72,0.519997
435,0.6,0.636492
436,0.24,0.310973
437,0.3,0.48855
438,0.84,0.112544
439,0,0.541823
440,0.35,0.9541
441,0.71,0.331099
442,0.76,0.921637
443,0.74,0.953297
444,0.85,0.925406
445,0.32,0.643841
446,0.28,0.517958
447,0.17,0.912153
448,0.8,0.732761
449,0.04,0.461732
450,0.27,0.778762
451,0.96,0.624787
452,0.49,0.380896
453,0.57,0.366079
454,0.8,0.150319
455,0.49,0.047331
456,0.25,0.217382
457,0.31,0.788061
458,0.81,0.106478
459,0.6,0.492094
460,0.47,0.292058
461,0.82,0.184088
462,0.78,0.134675
463,0.31,0.119936
464,0.27,0.689584
465,0.24,0.38926
466,0.98,0.50192
467,0.95,0.476681
468,0.83,0.744938
469,0.22,0.022054
470,0.25,0.623879
471,0.7,0.185487
472,0.4,0.582357
473,0.86,0.621799
474,0.36,0.567748
475,0.72,0.600776
476,0.7,0.435147
477,0.17,0.152208
478,0.81,0.481084
479,0.81,0.738966
480,0.32,0.745683
481,0.27,0.261856
482,0.35,0.716215
483,0.7,0.16636
484,0.96,0.339468
485,0.42,0.395505
486,0.97,0.52819
487,0.42,0.7901
488,0.63,0.244108
489,0.81,0.946443
490,0.26,0.651151
491,0.78,0.247398
492,0.81,0.237062
493,0.11,0.874107
494,0.5,0.053029
495,0.91,0.746626
496,0.72,0.900248
497,0.62,0.941914
498,0.89,0.993797
499,0.51,0.00464
500,0.87,0.891804
501,0.73,0.84647
502,0.61,0.171838
503,0.28,0.417655
504,0.8,0.277803
505,0.93,0.432248
506,0.22,0.022643
507,0.62,0.185836
508,0.04,0.228338
509,0.37,0.142973
510,0.34,0.553063
511,0.06,0.596943
512,0.69,0.576937
513,0.8,0.134251
514,0.41,0.633946
515,0.85,0.782044
516,0.8,0.719452
517,0.47,0.51443
518,0.95,0.969202
519,0.91,0.19266
520,0.56,0.009837
521,0.45,0.304327
522,0.26,0.806669
523,0.45,0.571289
524,0.46,0.183638
525,0.17,0.07374
526,0.32,0.93385
527,0.9,0.429115
528,0.01,0.677695
529,0.61,0.123784
530,0.91,0.406825
531,0.83,0.443871
532,0.54,0.266309
533,0.32,0.697939
534,0.5,0.362623
535,0.32,0.34247
536,0.49,0.670185
537,0.92,0.757553
538,0.3,0.641007
539,0.86,0.039334
540,0.13,0.993202
541,0.62,0.060179
542,0.97,0.775003
543,0.4,0.846439
544,0.96,0.245157
545,0.83,0.886195
546,0.48,0.596706
547,0.97,0.423448
548,0.82,0.185279
549,0.6,0.069653
550,0.96,0.182451
551,0.11,0.177261
552,0.47,0.702533
553,0.91,0.324726
554,0.11,0.020643
555,0.06,0.883377
556,0.74,0.306922
557,0.63,0.912731
558,0.55,0.999107
559,0.83,0.119853
560,0.8,0.510783
561,0.63,0.505822
562,0.11,0.518259
563,0.05,0.756973
564,0.85,0.526618
565,0.76,0.078283
566,0.88,0.912954
567,0.64,0.172802
568,0.93,0.685277
569,0.56,0.737047
570,0.51,0.472181
571,0.46,0.283729
572,0.2,0.800333
573,0.52,0.314538
574,0.82,0.159485
575,0.31,0.279127
576,0.2,0.618894
577,0.51,0.925998
578,0.03,0.849207
579,0.04,0.643724
580,0.72,0.040725
581,0.65,0.204578
582,0.28,0.750033
583,0.93,0.892495
584,0.99,0.607405
585,0.55,0.306484
586,0.86,0.531065
587,0.61,0.314429
588,0.8,0.40225
589,0.57,0.113979
590,0.89,0.595788
591,0.06,0.088296
592,0.84,0.922004
593,0.76,0.48442
594,0.78,0.243388
595,0.65,0.649782
596,0.65,0.058803
597,0.22,0.40503
598,0.28,0.221634
599,0.6,0.179335
600,0.77,0.046979
601,0.76,0.791494
602,0.96,0.702365
603,0.23,0.416946
604,0.69,0.069328
605,0.81,0.474471
606,0.01,0.530953
607,0.15,0.623591
608,0.6,0.713918
609,0.24,0.896943
610,0.14,0.008444
611,0.44,0.749736
612,0.96,0.929831
613,0.74,0.311651
614,0.31,0.505813
615,0.82,0.368644
616,0.61,0.408453
617,0.79,0.957307
618,0.03,0.030941
619,0.2,0.602391
620,0.64,0.979191
621,0.85,0.941671
622,0.59,0.915711
623,0.57,0.868892
624,0.15,0.866296
625,0.68,0.93191
626,0.03,0.225745
627,0.22,0.691838
628,0.68,0.292759
629,0.92,0.918475
630,0.54,0.148119
631,0.87,0.861016
632,0.18,0.938219
633,0.48,0.081262
634,0.02,0.986865
635,0.52,0.824266
636,0.87,0.431642
637,0.14,0.593071
638,0.18,0.125527
639,0.18,0.519329
640,0.61,0.12073
641,0.14,0.075853
642,0.19,0.928874
643,0,0.192217
644,0.27,0.091521
645,0.08,0.281055
646,0.36,0.231402
647,0.52,0.185136
648,0.49,0.956911
649,0.26,0.202658
650,0.71,0.96967
651,0.91,0.951228
652,0.55,0.027244
653,0.87,0.519187
654,0.59,0.608662
655,0.03,0.732948
656,0.23,0.488649
657,0.02,0.72488
658,0.43,0.056994
659,0.96,0.612382
660,0.12,0.204038
661,0.55,0.502527
662,0.3,0.238398
663,0.07,0.135655
664,0.81,0.642264
665,0.11,0.145346
666,0.91,0.232469
667,0.43,0.649243
668,0.65,0.653172
669,0.42,0.063855
670,0.93,0.217081
671,0.48,0.20767
672,0.5,0.484058
673,0.01,0.560756
674,0.37,0.924383
675,0.73,0.873747
676,0.59,0.514906
677,0.08,0.516742
678,0.83,0.935033
679,0.97,0.127673
680,0.22,0.255247
681,0.7,0.440397
682,0.25,0.878929
683,0.18,0.600831
684,0.04,0.20688
685,0.69,0.584962
686,0.59,0.076883
687,0.52,0.419222
688,0.22,0.090756
689,0.06,0.917184
690,0.77,0.039987
691,0.03,0.791983
692,0.02,0.947092
693,0.21,0.573893
694,0.04,0.776428
695,0.07,0.846808
696,0.38,0.685496
697,0.96,0.991875
698,0.76,0.103664
699,0.53,0.790214
700,0.73,0.118544
701,0.19,0.487682
702,0.07,0.50169
703,0.54,0.291735
704,0.03,0.001106
705,0.6,0.257052
706,0.59,0.533984
707,0.89,0.512574
708,0.35,0.200452
709,0.94,0.05143
710,0.55,0.88306
711,0.53,0.891966
712,0.33,0.632559
713,0.23,0.288534
714,0.16,0.720083
715,0.79,0.399449
716,0.41,0.219586
717,0.23,0.335994
718,0.49,0.221792
719,0.02,0.74346
720,0.2,0.709966
721,0.31,0.03044
722,0.66,0.525262
723,0.39,0.347883
724,0.46,0.709972
725,0.29,0.314792
726,0.29,0.352252
727,0.5,0.559286
728,0.88,0.622993
729,0.26,0.684425
730,0.79,0.145443
731,0.93,0.400919
732,0.13,0.519017
733,0.74,0.988111
734,0.84,0.715375
735,0.31,0.657291
736,0.95,0.196673
737,0.73,0.239459
738,0.25,0.040377
739,0.73,0.91757
740,0.56,0.198631
741,0.14,0.258551
742,0.01,0.749707
743,0.74,0.529297
744,0.9,0.780166
745,0.23,0.19713
746,0.43,0.625043
747,0.21,0.542835
748,0.17,0.782034
749,0.74,0.919457
750,0.78,0.315284
751,0.68,0.583612
752,0.31,0.020678
753,0.99,0.05924
754,0.33,0.894884
755,0.97,0.398311
756,0.06,0.527391
757,0.66,0.832628
758,0.62,0.638266
759,0.72,0.73793
760,0.78,0.618936
761,1,0.608842
762,0.2,0.624378
763,0.98,0.65631
764,0.3,0.793994
765,0.16,0.738804
766,0.2,0.338163
767,0.49,0.003055
768,0.75,0.355925
769,0.45,0.357134
770,0.05,0.29971
771,0.55,0.740469
772,0.09,0.041472
773,0.17,0.254918
774,0.61,0.931838
775,0.95,0.418232
776,0.44,0.798845
777,0.61,0.279615
778,0.91,0.38257
779,0.51,0.527315
780,0.25,0.217636
781,0.69,0.823687
782,0.87,0.962418
783,0.46,0.311157
784,0.66,0.736871
785,0.88,0.397091
786,0.35,0.492326
787,0.19,0.480702
788,0.18,0.993189
789,0.02,0.672533
790,0.97,0.195491
791,0.5,0.211978
792,0.48,0.854002
793,0.92,0.259844
794,0.34,0.98046
795,0.54,0.597478
796,0.94,0.261288
797,0.01,0.157103
798,0.5,0.610506
799,0.14,0.002534
800,0.42,0.646358
801,0.91,0.898647
802,0.63,0.301693
803,0.17,0.960337
804,0.33,0.28505
805,0.22,0.76908
806,0.52,0.119935
807,0.07,0.188013
808,0.73,0.506406
809,0.01,0.779068
810,0.97,0.544499
811,0.44,0.380163
812,0.59,0.470782
813,0.89,0.913924
814,0.7,0.122285
815,0.55,0.971112
816,0.11,0.027056
817,0.79,0.106365
818,0.34,0.37556
819,0.27,0.777874
820,0.99,0.535528
821,0.85,0.5305
822,0.76,0.438637
823,0.64,0.111778
824,0.25,0.588414
825,0,0.412687
826,0.96,0.262821
827,0.2,0.676538
828,0.07,0.419257
829,0.25,0.686681
830,0.07,0.444258
831,0.04,0.100509
832,0.23,0.101573
833,0.7,0.404557
834,0.34,0.452251
835,0.56,0.911801
836,0.7,0.616104
837,0.62,0.853298
838,0.35,0.115599
839,0.61,0.808753
840,0.3,0.480139
841,0.38,0.613187
842,0.82,0.129965
843,0.67,0.05974
844,0.73,0.788674
845,0.54,0.306513
846,0.82,0.425869
847,0.78,0.556006
848,0.4,0.13867
849,0.15,0.053632
850,0.35,0.387853
851,0.63,0.261627
852,0.78,0.611756
853,0.32,0.444691
854,0.81,0.20516
855,0.36,0.496093
856,0.47,0.029478
857,0.33,0.966561
858,0.33,0.205028
859,0.26,0.167075
860,0.74,0.616629
861,0.57,0.669307
862,0.21,0.674085
863,0.84,0.60229
864,0.48,0.349028
865,0.03,0.50381
866,0.72,0.058475
867,0.62,0.345071
868,0.66,0.858049
869,0.82,0.41632
870,0.37,0.460493
871,0.26,0.797954
872,0.93,0.300102
873,0.65,0.376729
874,0.67,0.619116
875,0.24,0.315462
876,0.35,0.355158
877,0.07,0.089339
878,0.89,0.473972
879,0.78,0.774462
880,0.5,0.409956
881,0.11,0.621989
882,0.58,0.310179
883,0.7,0.483385
884,0.08,0.188969
885,0.44,0.502956
886,0.18,0.079364
887,0.75,0.770448
888,0.79,0.26502
889,0.1,0.727482
890,0.45,0.254494
891,0.57,0.77762
892,0.73,0.258717
893,0.52,0.561497
894,0.43,0.50904
895,0.6,0.740866
896,0.3,0.257652
897,0.21,0.266276
898,0.13,0.060091
899,0.08,0.800612
900,0.39,0.384667
901,0.53,0.276468
902,0.43,0.944775
903,0.67,0.481645
904,0,0.325852
905,0.11,0.579237
906,0.12,0.612304
907,0.68,0.94047
908,0.03,0.913422
909,0.97,0.582309
910,0.81,0.463343
911,0.61,0.364019
912,0.49,0.040731
913,0.12,0.771489
914,0.33,0.14567
915,0.36,0.777586
916,0.26,0.237772
917,0.98,0.610082
918,0.42,0.847167
919,0.12,0.356426
920,0.55,0.72432
921,0.05,0.130243
922,0.29,0.68282
923,0.8,0.199169
924,1,0.964161
925,0.46,0.289568
926,0.99,0.396869
927,0.76,0.827593
928,0.56,0.89693
929,0.85,0.382569
930,0.16,0.049801
931,0.56,0.220357
932,0.93,0.598908
933,0.4,0.219438
934,0.5,0.729435
935,0.75,0.520694
936,0.51,0.344806
937,0.34,0.762296
938,0.2,0.707063
939,0.29,0.439285
940,0.21,0.871628
941,0.56,0.355636
942,0.94,0.183786
943,0.15,0.608062
944,0.9,0.959913
945,0.26,0.375886
946,0.22,0.504518
947,0.08,0.335339
948,0.01,0.567271
949,0.8,0.184946
950,0.9,0.214097
951,0.7,0.238502
952,0.48,0.013973
953,0.46,0.856038
954,0.39,0.945597
955,0.35,0.011139
956,0.11,0.443636
957,0.19,0.907405
958,0.3,0.095878
959,0.02,0.300072
960,0.12,0.26448
961,0.12,0.763354
962,0.08,0.233951
963,0.36,0.959069
964,0.03,0.033642
965,0.24,0.808743
966,0.85,0.247391
967,0.8,0.859879
968,0.27,0.677173
969,0.36,0.946494
970,0.9,0.189983
971,0.83,0.646097
972,0.82,0.237099
973,0.56,0.741014
974,0.79,0.359499
975,0.54,0.017225
976,0.59,0.435496
977,0.21,0.632207
978,0.93,0.285357
979,0.53,0.290081
980,0.9,0.067918
981,0.67,0.90705
982,0.43,0.948978
983,0.17,0.718569
984,0.72,0.695926
985,1,0.732364
986,0.91,0.480901
987,0.62,0.014255
988,0.19,0.422511
989,0.9,0.354344
990,0.48,0.79803
991,0.58,0.311761
992,0.05,0.138443
993,0.73,0.60895
994,0.16,0.573457
995,0.58,0.561793
996,0.6,0.907625
997,0.37,0.809394
998,0.7,0.532231
999,0.18,0.889058
1000,0.99,0.928672
1001,0.57,0.69599
1002,0.47,0.969894
1003,0.42,0.490178
1004,0.76,0.760386
1005,0.32,0.071337
1006,0.49,0.159278
1007,0.59,0.241979
1008,0.64,0.719311
1009,0.43,0.787073
1010,0.95,0.632952
1011,0.47,0.452367
1012,0.51,0.337763
1013,0.63,0.262074
1014,0.84,0.024883
1015,0.95,0.800216
1016,0.13,0.407984
1017,0.62,0.866931
1018,0.54,0.920231
1019,0.23,0.131253
1020,0.13,0.453925
1021,0.92,0.526205
1022,0.27,0.23745
1023,0.12,0.938357
1024,0.98,0.036549
1025,0.16,0.110122
1026,0.29,0.323767
1027,0.09,0.432382
1028,0.82,0.102097
1029,0.77,0.616561
1030,0.96,0.395432
1031,0.9,0.682265
1032,0.24,0.576658
1033,0.53,0.175844
1034,0.9,0.810329
1035,0.56,0.876127
1036,0.27,0.285015
1037,0.73,0.282095
1038,0.79,0.012513
1039,0.36,0.835295
1040,0.89,0.493672
1041,0.99,0.70567
1042,0.05,0.720961
1043,0.99,0.384411
1044,0.74,0.004321
1045,0.16,0.83075
1046,0.97,0.445934
1047,0.8,0.987351
1048,0.23,0.105393
1049,0.33,0.473066
1050,0.84,0.624382
1051,0.44,0.733718
1052,0.91,0.510097
1053,0.1,0.16395
1054,0.01,0.76176
1055,0.42,0.199529
1056,0.2,0.938344
1057,0.5,0.621717
1058,0.42,0.68046
1059,0.06,0.047579
1060,0.64,0.335019
1061,0.09,0.378991
1062,0.04,0.121817
1063,0.19,0.641634
1064,0.29,0.233802
1065,0.22,0.777891
1066,0.18,0.098826
1067,0.73,0.42681
1068,0.94,0.784378
1069,0.64,0.709423
1070,0.31,0.35292
1071,0.5,0.107792
1072,0.29,0.94903
1073,0.14,0.697706
1074,0.63,0.28653
1075,0.19,0.346832
1076,0.78,0.713266
1077,0.15,0.866973
1078,0.35,0.710855
1079,0.73,0.078847
1080,0.74,0.156594
1081,0.66,0.044332
1082,0.28,0.709224
1083,0.74,0.68076
1084,0.96,0.154776
1085,0.08,0.766283
1086,0.16,0.045187
1087,0.08,0.466861
1088,0.67,0.274983
1089,0.11,0.627815
1090,0.82,0.303903
1091,0.53,0.689402
1092,0.23,0.108766
1093,0.68,0.501983
1094,0.89,0.45214
1095,0.88,0.459019
1096,0.29,0.542542
1097,0.19,0.67001
1098,0.04,0.648044
1099,0.28,0.898349
1100,0.68,0.478044
1101,0.81,0.196752
1102,0.57,0.872543
1103,0.25,0.639025
1104,0.72,0.555715
1105,0.43,0.734611
1106,0.29,0.664148
1107,0.96,0.305531
1108,0.68,0.871254
1109,0.24,0.60772
1110,0.26,0.49829
1111,0.86,0.907814
1112,0.32,0.87962
1113,0.23,0.352403
1114,0.53,0.644663
1115,0.81,0.774831
1116,0.77,0.545852
1117,0.58,0.755622
1118,0.67,0.458938
1119,0.09,0.501865
1120,0.34,0.229698
1121,0.95,0.34823
1122,0.3,0.534956
1123,0.45,0.004297
1124,0.44,0.244687
1125,0.93,0.289274
1126,0.91,0.009167
1127,0.73,0.574357
1128,0.43,0.104614
1129,0.92,0.438409
1130,0.88,0.800702
1131,0.3,0.177869
1132,0.82,0.994477
1133,1,0.927172
1134,0.97,0.284714
1135,0.53,0.503666
1136,0.03,0.093731
1137,0.11,0.55648
1138,0.71,0.796304
1139,0.16,0.977106
1140,0.26,0.921142
1141,0.11,0.818413
1142,0.73,0.476301
1143,0,0.541896
1144,0.73,0.738783
1145,0.67,0.053458
1146,0.27,0.57495
1147,0.84,0.118807
1148,0.25,0.863111
1149,0.03,0.246214
1150,0.99,0.892683
1151,0.87,0.319705
1152,0.03,0.960787
1153,0.1,0.451933
1154,0.3,0.655026
1155,0.81,0.81919
1156,0.48,0.237947
1157,0.54,0.17521
1158,0.64,0.765792
1159,0.85,0.577724
1160,0.71,0.926688
1161,0.56,0.747639
1162,0.36,0.347146
1163,0.72,0.443049
1164,1,0.623729
1165,0.13,0.219206
1166,0.03,0.140242
1167,0.94,0.594423
1168,0.94,0.249902
1169,0.6,0.204889
1170,0.57,0.327803
1171,0.43,0.053183
1172,0.28,0.747284
1173,0.63,0.927323
1174,0.07,0.774997
1175,0.83,0.779901
1176,0.55,0.979776
1177,0.31,0.139189
1178,0.86,0.954738
1179,0.41,0.801425
1180,0.65,0.262182
1181,0.09,0.876688
1182,0.56,0.056639
1183,0.23,0.447133
1184,0.99,0.273992
1185,0.79,0.257609
1186,0.24,0.520249
1187,0.91,0.393588
1188,0.19,0.708346
1189,0.12,0.454867
1190,0.67,0.892832
1191,0.57,0.478676
1192,0.58,0.16934
1193,0.26,0.469666
1194,0.65,0.333969
1195,0.8,0.599674
1196,0.25,0.588142
1197,0.54,0.349229
1198,0.03,0.634491
1199,0.17,0.636925
1200,0.77,0.823617
1201,0.4,0.047057
1202,0.89,0.792962
1203,0.57,0.429775
1204,0.84,0.110823
1205,0.44,0.895761
1206,0.1,0.993398
1207,0.35,0.595861
1208,0.52,0.806641
1209,0.8,0.553784
1210,0.02,0.310881
1211,0.5,0.472778
1212,0.52,0.48099
1213,0.12,0.243015
1214,0.27,0.677806
1215,0.49,0.414387
1216,0.33,0.774539
1217,0.02,0.419951
1218,0.81,0.200749
1219,0.01,0.422675
1220,0.05,0.243099
1221,0.87,0.201441
1222,0.18,0.587447
1223,0.56,0.241454
1224,0.86,0.394074
1225,0.89,0.066889
1226,0.97,0.874702
1227,0.15,0.298835
1228,0.9,0.195157
1229,0.98,0.741464
1230,0.09,0.196593
1231,0.69,0.682545
1232,0.01,0.053308
1233,0.92,0.090327
1234,0.39,0.366785
1235,0.54,0.263229
1236,0.99,0.288326
1237,0.44,0.48016
1238,0.27,0.610463
1239,0.49,0.987164
1240,0.63,0.644099
1241,0.06,0.047465
1242,0.92,0.439919
1243,0.75,0.185474
1244,0.11,0.024781
1245,0.64,0.304459
1246,0.56,0.620928
1247,0.52,0.504813
1248,0.17,0.545297
1249,0.5,0.692614
1250,0.81,0.821264
