hour,RESV
257,0.751961
258,0.152645
259,0.640966
260,0.076026
261,0.634379
262,0.857038
263,0.320598
264,0.765686
265,0.533677
266,0.176542
267,0.694392
268,0.558893
269,0.770339
270,0.551861
271,0.390888
272,0.094141
273,0.167262
274,0.622665
275,0.084062
276,0.15744
277,0.1935
278,0.684142
279,0.388861
280,0.716619
281,0.033471
282,0.557936
283,0.378763
284,0.556277
285,0.757389
286,0.660004
287,0.280675
288,0.355134
289,0.009118
290,0.030228
291,0.789579
292,0.821632
293,0.159605
294,0.822284
295,0.130466
296,0.617909
297,0.961461
298,0.731674
299,0.811553
300,0.454722
301,0.580811
302,0.315525
303,0.747505
304,0.562893
305,0.396072
306,0.976634
307,0.101926
308,0.408281
309,0.801481
310,0.854613
311,0.022721
312,0.257199
313,0.351767
314,0.504427
315,0.791307
316,0.565383
317,0.737187
318,0.768965
319,0.578037
320,0.015893
321,0.329443
322,0.413342
323,0.771725
324,0.211888
325,0.120205
326,0.169412
327,0.196633
328,0.500419
329,0.846058
330,0.802221
331,0.141396
332,0.6147
333,0.551007
334,0.814408
335,0.027535
336,0.634714
337,0.397704
338,0.337971
339,0.638166
340,0.753532
341,0.261105
342,0.579404
343,0.370719
344,0.400307
345,0.455688
346,0.428167
347,0.485115
348,0.244007
349,0.184503
350,0.509444
351,0.67332
352,0.122458
353,0.346068
354,0.580736
355,0.125801
356,0.742364
357,0.003729
358,0.695019
359,0.444947
360,0.791189
361,0.332184
362,0.616631
363,0.871758
364,0.224417
365,0.078985
366,0.279676
367,0.033229
368,0.862421
369,0.990673
370,0.302249
371,0.313541
372,0.868094
373,0.305929
374,0.386227
375,0.549243
376,0.002693
377,0.501955
378,0.38705
379,0.837494
380,0.723694
381,0.412996
382,0.217635
383,0.356864
384,0.838465
385,0.387521
386,0.977678
387,0.314084
388,0.108791
389,0.999747
390,0.828437
391,0.829694
392,0.919793
393,0.181268
394,0.277265
395,0.442253
396,0.800106
397,0.591252
398,0.608812
399,0.684918
400,0.335797
401,0.895124
402,0.704568
403,0.831443
404,0.31621
405,0.392951
406,0.752319
407,0.141808
408,0.557774
409,0.832699
410,0.677996
411,0.386199
412,0.201916
413,0.36707
414,0.188465
415,0.069362
416,0.882335
417,0.816077
418,0.455292
419,0.485753
420,0.65869
421,0.351669
422,0.219076
423,0.433631
424,0.407258
425,0.624594
426,0.552751
427,0.300171
428,0.716441
429,0.304556
430,0.840563
431,0.088196
432,0.947776
433,0.500011
434,0.116904
435,0.608023
436,0.218516
437,0.04947
438,0.35251
439,0.720004
440,0.042313
441,0.229954
442,0.067684
443,0.03048
444,0.898002
445,0.822434
446,0.523724
447,0.449478
448,0.290403
449,0.139782
450,0.684727
451,0.057468
452,0.353288
453,0.348753
454,0.735018
455,0.754575
456,0.791043
457,0.082748
458,0.476191
459,0.018008
460,0.143909
461,0.905055
462,0.462708
463,0.373819
464,0.112166
465,0.926343
466,0.307137
467,0.891458
468,0.407643
469,0.191077
470,0.865221
471,0.850358
472,0.917974
473,0.619975
474,0.795626
475,0.243522
476,0.405812
477,0.137486
478,0.637542
479,0.495342
480,0.240404
481,0.853606
482,0.964387
483,0.24076
484,0.363974
485,0.648596
486,0.74243
487,0.893384
488,0.755452
489,0.913453
490,0.278487
491,0.218662
492,0.191922
493,0.411769
494,0.760762
495,0.138817
496,0.911374
497,0.320732
498,0.020582
499,0.229558
500,0.624044
501,0.559972
502,0.104019
503,0.258046
504,0.195863
505,0.769693
506,0.585027
507,0.849079
508,0.900992
509,0.547133
510,0.258204
511,0.915822
512,0.893149
513,0.688183
514,0.419611
515,0.366236
516,0.445739
517,0.606991
518,0.021372
519,0.978223
520,0.496393
521,0.938343
522,0.317723
523,0.509633
524,0.769324
525,0.460874
526,0.783207
527,0.776555
528,0.640812
529,0.394558
530,0.534722
531,0.840665
532,0.704535
533,0.543329
534,0.726228
535,0.974308
536,0.984263
537,0.325307
538,0.616665
539,0.665464
540,0.354096
541,0.724956
542,0.819459
543,0.440332
544,0.14223
545,0.425692
546,0.365878
547,0.203376
548,0.915771
549,0.51288
550,0.354223
551,0.889737
552,0.328706
553,0.19111
554,0.098305
555,0.93256
556,0.240839
557,0.117571
558,0.724153
559,0.809937
560,0.484556
561,0.812549
562,0.619819
563,0.982853
564,0.567451
565,0.455013
566,0.413903
567,0.213827
568,0.173948
569,0.691227
570,0.50443
571,0.671511
572,0.847616
573,0.286653
574,0.429126
575,0.823115
576,0.390536
577,0.886927
578,0.447171
579,0.14117
580,0.925294
581,0.163309
582,0.831997
583,0.279825
584,0.980336
585,0.477418
586,0.519604
587,0.891938
588,0.393202
589,0.746298
590,0.175536
591,0.354868
592,0.456051
593,0.159765
594,0.562876
595,0.504561
596,0.42048
597,0.361021
598,0.254394
599,0.902719
600,0.186149
601,0.09503
602,0.83631
603,0.087987
604,0.335467
605,0.311188
606,0.03075
607,0.970585
608,0.986285
609,0.800335
610,0.761412
611,0.619114
612,0.75381
613,0.963647
614,0.283421
615,0.745432
616,0.447784
617,0.542116
618,0.851249
619,0.5091
620,0.1069
621,0.202783
622,0.357163
623,0.981112
624,0.255752
625,0.020195
626,0.195771
627,0.063301
628,0.768187
629,0.54022
630,0.766904
631,0.523965
632,0.777688
633,0.79423
634,0.512542
635,0.982762
636,0.002349
637,0.309145
638,0.686242
639,0.843231
640,0.010359
641,0.811577
642,0.464577
643,0.839294
644,0.911957
645,0.238083
646,0.336123
647,0.496938
648,0.473792
649,0.827594
650,0.531542
651,0.962482
652,0.179196
653,0.550631
654,0.950516
655,0.920969
656,0.74268
657,0.679
658,0.09258
659,0.460708
660,0.343036
661,0.425012
662,0.520672
663,0.477863
664,0.516191
665,0.280313
666,0.08075
667,0.596655
668,0.449768
669,0.153135
670,0.895127
671,0.914535
672,0.284671
673,0.999101
674,0.740881
675,0.1228
676,0.4251
677,0.904787
678,0.128097
679,0.725581
680,0.8813
681,0.599676
682,0.462978
683,0.882488
684,0.983372
685,0.201565
686,0.394767
687,0.640561
688,0.763753
689,0.45291
690,0.550671
691,0.518491
692,0.021261
693,0.612828
694,0.135399
695,0.767057
696,0.398662
697,0.19655
698,0.668017
699,0.385232
700,0.960141
701,0.485046
702,0.79858
703,0.333254
704,0.016143
705,0.878903
706,0.768359
707,0.470399
708,0.458312
709,0.169548
710,0.010965
711,0.457774
712,0.812936
713,0.432333
714,0.497435
715,0.531372
716,0.916431
717,0.535897
718,0.633758
719,0.779334
720,0.46764
721,0.903604
722,0.669164
723,0.202225
724,0.095974
725,0.925662
726,0.673478
727,0.567524
728,0.626769
729,0.860466
730,0.155035
731,0.941297
732,0.221982
733,0.102485
734,0.047925
735,0.241501
736,0.324452
737,0.137873
738,0.663377
739,0.669841
740,0.404997
741,0.4146
742,0.897064
743,0.672819
744,0.598131
745,0.022348
746,0.935382
747,0.066118
748,0.67845
749,0.186953
750,0.665415
751,0.727963
752,0.666588
753,0.522524
754,0.322096
755,0.111097
756,0.052784
757,0.831498
758,0.003402
759,0.773891
760,0.565078
761,0.815592
762,0.951335
763,0.478028
764,0.933276
765,0.673406
766,0.611615
767,0.703805
768,0.853081
769,0.091236
770,0.288233
771,0.572705
772,0.255477
773,0.935636
774,0.474099
775,0.459238
776,0.353025
777,0.014009
778,0.258653
779,0.686805
780,0.383414
781,0.5418
782,0.6703
783,0.108952
784,0.455707
785,0.89519
786,0.92002
787,0.570436
788,0.079606
789,0.799493
790,0.144944
791,0.367337
792,0.141687
793,0.151698
794,0.215706
795,0.142193
796,0.98796
797,0.455493
798,0.958619
799,0.324742
800,0.638627
801,0.796788
802,0.840691
803,0.596068
804,0.250455
805,0.272026
806,0.404668
807,0.381979
808,0.680959
809,0.738228
810,0.52162
811,0.294748
812,0.080743
813,0.549374
814,0.519741
815,0.624813
816,0.545103
817,0.074522
818,0.475196
819,0.441339
820,0.849798
821,0.160074
822,0.851018
823,0.011956
824,0.748699
825,0.363269
826,0.873581
827,0.359186
828,0.006817
829,0.711531
830,0.58094
831,0.553664
832,0.685532
833,0.859484
834,0.827779
835,0.478949
836,0.626924
837,0.181502
838,0.915609
839,0.309803
840,0.14971
841,0.33596
842,0.134527
843,0.641869
844,0.195443
845,0.38687
846,0.448999
847,0.826266
848,0.676894
849,0.131965
850,0.332324
851,0.85018
852,0.553459
853,0.4472
854,0.628146
855,0.942812
856,0.202316
857,0.839783
858,0.468973
859,0.45118
860,0.731678
861,0.889188
862,0.767319
863,0.609388
864,0.347093
865,0.091817
866,0.9611
867,0.221271
868,0.822485
869,0.230957
870,0.837791
871,0.981066
872,0.093462
873,0.807384
874,0.708981
875,0.681436
876,0.01625
877,0.182375
878,0.428293
879,0.953504
880,0.866634
881,0.837483
882,0.839205
883,0.396793
884,0.626648
885,0.99228
886,0.823428
887,0.61693
888,0.423073
889,0.895242
890,0.109711
891,0.101548
892,0.100086
893,0.846184
894,0.803201
895,0.18898
896,0.297206
897,0.078274
898,0.708445
899,0.835872
900,0.621605
901,0.468103
902,0.724199
903,0.223649
904,0.033701
905,0.650126
906,0.331619
907,0.479846
908,0.459188
909,0.160019
910,0.631091
911,0.638454
912,0.230916
913,0.744184
914,0.11181
915,0.494896
916,0.971933
917,0.14102
918,0.220601
919,0.866522
920,0.740682
921,0.694396
922,0.834372
923,0.470362
924,0.235831
925,0.939955
926,0.377575
927,0.378207
928,0.039163
929,0.036772
930,0.598836
931,0.710622
932,0.439243
933,0.034907
934,0.512853
935,0.339092
936,0.408868
937,0.526043
938,0.408301
939,0.034226
940,0.728267
941,0.585908
942,0.818524
943,0.400707
944,0.874401
945,0.320342
946,0.23997
947,0.143042
948,0.456796
949,0.411672
950,0.283939
951,0.56667
952,0.046812
953,0.488287
954,0.036115
955,0.482834
956,0.265452
957,0.632095
958,0.863103
959,0.231119
960,0.780787
961,0.522589
962,0.043528
963,0.782251
964,0.027818
965,0.233427
966,0.881502
967,0.531029
968,0.960912
969,0.388077
970,0.725613
971,0.269372
972,0.714703
973,0.8475
974,0.556894
975,0.936273
976,0.661703
977,0.035644
978,0.666464
979,0.819688
980,0.759575
981,0.115444
982,0.756564
983,0.48081
984,0.868042
985,0.729771
986,0.504566
987,0.328434
988,0.787153
989,0.557311
990,0.521641
991,0.197441
992,0.527315
993,0.45603
994,0.868605
995,0.745571
996,0.924803
997,0.281661
998,0.006494
999,0.958321
1000,0.191562
1001,0.225212
1002,0.371338
1003,0.655854
1004,0.402057
1005,0.050808
1006,0.57605
1007,0.094231
1008,0.860422
1009,0.56058
1010,0.2881
1011,0.840692
1012,0.013476
1013,0.541554
1014,0.690549
1015,0.86631
1016,0.622104
1017,0.418754
1018,0.438551
1019,0.590476
1020,0.53836
1021,0.94562
1022,0.428009
1023,0.693616
1024,0.728152
1025,0.588384
1026,0.061535
1027,0.705274
1028,0.880796
1029,0.035367
1030,0.668223
1031,0.972693
1032,0.355557
1033,0.94458
1034,0.041806
1035,0.34569
1036,0.890232
1037,0.456442
1038,0.862571
1039,0.086166
1040,0.852927
1041,0.54454
1042,0.656659
1043,0.694395
1044,0.472863
1045,0.206108
1046,0.402614
1047,0.550352
1048,0.337641
1049,0.27867
1050,0.719115
1051,0.23127
1052,0.663461
1053,0.708176
1054,0.564464
1055,0.741985
1056,0.260433
1057,0.949399
1058,0.229616
1059,0.025566
1060,0.997171
1061,0.410817
1062,0.736772
1063,0.225593
1064,0.690519
1065,0.171466
1066,0.773506
1067,0.390988
1068,0.901387
1069,0.593061
1070,0.89026
1071,0.608868
1072,0.566058
1073,0.250304
1074,0.026003
1075,0.5061
1076,0.132488
1077,0.772554
1078,0.31973
1079,0.75827
1080,0.862527
1081,0.890735
1082,0.949817
1083,0.005892
1084,0.971334
1085,0.467392
1086,0.574131
1087,0.668145
1088,0.378828
1089,0.113781
1090,0.046622
1091,0.440082
1092,0.560639
1093,0.926128
1094,0.930245
1095,0.166092
1096,0.550352
1097,0.326598
1098,0.849106
1099,0.223693
1100,0.811821
1101,0.047664
1102,0.077487
1103,0.96807
1104,0.366573
1105,0.50534
1106,0.179096
1107,0.031452
1108,0.564877
1109,0.514014
1110,0.028133
1111,0.72646
1112,0.925161
1113,0.215681
1114,0.978541
1115,0.725344
1116,0.312973
1117,0.148848
1118,0.015541
1119,0.991791
1120,0.704319
1121,0.880197
1122,0.819819
1123,0.515298
1124,0.416423
1125,0.937479
1126,0.587257
1127,0.840021
1128,0.074238
1129,0.896719
1130,0.745875
1131,0.746001
1132,0.264812
1133,0.872281
1134,0.637559
1135,0.436738
1136,0.359044
1137,0.930642
1138,0.196553
1139,0.979469
1140,0.221727
1141,0.460682
1142,0.301775
1143,0.509041
1144,0.387837
1145,0.335355
1146,0.519382
1147,0.631081
1148,0.884348
1149,0.419479
1150,0.611145
1151,0.743411
1152,0.2281
1153,0.207564
1154,0.806123
1155,0.536874
1156,0.013466
1157,0.580783
1158,0.658338
1159,0.62254
1160,0.937494
1161,0.710597
1162,0.03057
1163,0.633127
1164,0.360653
1165,0.028382
1166,0.765869
1167,0.190775
1168,0.679767
1169,0.140517
1170,0.433667
1171,0.345514
1172,0.643227
1173,0.316409
1174,0.222142
1175,0.07438
1176,0.489013
1177,0.38903
1178,0.628077
1179,0.790945
1180,0.879353
1181,0.5072
1182,0.294835
1183,0.550963
1184,0.535645
1185,0.042012
1186,0.879105
1187,0.627114
1188,0.435917
1189,0.18275
1190,0.075995
1191,0.156655
1192,0.328194
1193,0.619524
1194,0.468398
1195,0.292055
1196,0.320995
1197,0.452131
1198,0.214082
1199,0.626026
1200,0.610279
1201,0.188865
1202,0.74589
1203,0.475686
1204,0.361799
1205,0.624759
1206,0.872993
1207,0.527204
1208,0.405235
1209,0.141014
1210,0.754717
1211,0.640971
1212,0.44198
1213,0.521175
1214,0.515209
1215,0.240716
1216,0.265009
1217,0.789087
1218,0.300008
1219,0.988501
1220,0.629473
1221,0.030247
1222,0.733539
1223,0.085041
1224,0.193229
1225,0.74673
1226,0.526099
1227,0.973673
1228,0.434933
1229,0.521863
1230,0.686315
1231,0.761023
1232,0.137068
1233,0.578529
1234,0.044293
1235,0.778624
1236,0.751171
1237,0.036541
1238,0.559595
1239,0.286188
1240,0.388246
1241,0.740675
1242,0.847189
1243,0.556121
1244,0.648128
1245,0.162438
1246,0.496923
1247,0.847443
1248,0.530381
1249,0.703862
1250,0.623153
1251,0.123486
1252,0.15449
1253,0.686271
1254,0.694791
1255,0.463951
1256,0.427335
1257,0.869774
1258,0.003891
1259,0.838635
1260,0.258459
1261,0.844664
1262,0.403387
1263,0.020736
1264,0.615185
1265,0.825093
1266,0.511662
1267,0.990675
1268,0.083341
1269,0.952824
1270,0.361207
1271,0.712984
1272,0.546245
1273,0.429827
1274,0.635723
1275,0.653386
1276,0.934281
1277,0.547926
1278,0.950395
1279,0.01414
1280,0.176424
1281,0.840419
1282,0.06273
1283,0.423496
1284,0.975388
1285,0.489972
1286,0.763619
1287,0.954488
1288,0.247789
1289,0.178641
1290,0.112635
1291,0.126613
1292,0.438895
1293,0.726652
1294,0.796406
1295,0.556275
1296,0.020556
1297,0.656061
1298,0.870279
1299,0.158457
1300,0.342626
1301,0.279447
1302,0.694173
1303,0.876884
1304,0.138389
1305,0.310764
1306,0.507327
1307,0.86271
1308,0.404709
1309,0.350442
1310,0.009601
1311,0.132138
1312,0.147231
1313,0.80756
1314,0.347642
1315,0.625468
1316,0.327357
1317,0.030293
1318,0.125568
1319,0.819111
1320,0.425454
1321,0.598861
1322,0.606392
1323,0.836935
1324,0.032868
1325,0.055988
1326,0.928212
1327,0.655819
1328,0.126706
1329,0.631032
1330,0.195346
1331,0.188943
1332,0.830738
1333,0.251525
1334,0.805251
1335,0.437728
1336,0.795751
1337,0.028347
1338,0.879611
1339,0.30341
1340,0.037163
1341,0.136072
1342,0.660807
1343,0.121967
1344,0.024667
1345,0.250085
1346,0.314923
1347,0.372354
1348,0.892103
1349,0.578565
1350,0.650091
1351,0.044273
1352,0.212175
1353,0.895142
1354,0.579794
1355,0.386815
1356,0.757446
1357,0.294404
1358,0.234705
1359,0.674258
1360,0.179573
1361,0.680951
1362,0.651276
1363,0.360927
1364,0.244296
1365,0.955928
1366,0.138188
1367,0.502193
1368,0.731951
1369,0.937592
1370,0.170791
1371,0.530038
1372,0.064236
1373,0.615394
1374,0.731321
1375,0.05925
1376,0.200031
1377,0.290758
1378,0.645762
1379,0.913386
1380,0.10849
1381,0.450242
1382,0.550859
1383,0.067987
1384,0.625626
1385,0.679783
1386,0.185633
1387,0.058119
1388,0.912687
1389,0.600019
1390,0.007375
1391,0.283013
1392,0.887278
1393,0.788871
1394,0.46353
1395,0.672896
1396,0.00212
1397,0.222508
1398,0.784888
1399,0.41467
1400,0.806177
1401,0.353918
1402,0.41887
1403,0.700512
1404,0.638674
1405,0.251126
1406,0.572699
1407,0.253307
1408,0.336223
1409,0.734929
1410,0.377624
1411,0.477008
1412,0.930678
1413,0.923544
1414,0.529857
1415,0.720796
1416,0.962585
1417,0.356935
1418,0.229542
1419,0.675994
1420,0.606329
1421,0.528981
1422,0.529152
1423,0.110734
1424,0.228984
1425,0.29578
1426,0.738726
1427,0.780822
1428,0.20603
1429,0.667245
1430,0.380536
1431,0.201491
1432,0.19595
1433,0.950076
1434,0.069925
1435,0.502148
1436,0.0462
1437,0.814716
1438,0.15002
1439,0.012517
1440,0.968345
1441,0.402779
1442,0.876283
1443,0.349373
1444,0.971985
1445,0.925137
1446,0.449543
1447,0.840055
1448,0.848754
1449,0.963684
1450,0.830583
1451,0.734361
1452,0.881617
1453,0.983481
1454,0.523498
1455,0.088966
1456,0.376383
1457,0.176689
1458,0.110555
1459,0.725781
1460,0.753719
1461,0.422147
1462,0.526707
1463,0.248863
1464,0.203823
1465,0.39573
1466,0.307764
1467,0.958636
1468,0.584456
1469,0.206327
1470,0.91165
1471,0.03942
1472,0.774201
1473,0.204982
1474,0.554275
1475,0.993755
1476,0.905427
1477,0.127158
1478,0.288769
1479,0.536267
1480,0.029369
1481,0.05406
1482,0.423204
1483,0.401915
1484,0.001482
1485,0.738686
1486,0.168113
1487,0.829528
1488,0.105936
1489,0.109264
1490,0.46219
1491,0.873259
1492,0.977277
1493,0.422287
1494,0.450238
1495,0.518469
1496,0.256536
1497,0.652356
1498,0.509226
1499,0.748655
1500,0.928123
1501,0.826672
1502,0.655446
1503,0.773903
1504,0.246311
1505,0.099054
1506,0.732509
1507,0.146739
1508,0.783166
1509,0.858655
1510,0.803419
1511,0.724205
1512,0.572327
1513,0.803911
1514,0.316125
1515,0.120989
1516,0.402497
1517,0.21218
1518,0.345349
1519,0.781985
1520,0.61798
1521,0.77583
1522,0.941705
1523,0.199349
1524,0.048411
1525,0.944692
1526,0.752429
1527,0.643734
1528,0.188236
1529,0.044693
1530,0.605231
1531,0.499935
1532,0.251885
1533,0.317272
1534,0.192384
1535,0.805578
1536,0.072685
1537,0.649336
1538,0.411987
1539,0.635178
1540,0.65401
1541,0.973209
1542,0.251345
1543,0.69948
1544,0.656119
1545,0.033392
1546,0.946305
1547,0.466905
1548,0.231813
1549,0.2455
1550,0.582413
1551,0.160953
1552,0.314862
1553,0.588043
1554,0.279027
1555,0.321373
1556,0.595292
1557,0.533481
1558,0.976931
1559,0.731827
1560,0.711286
1561,0.480655
1562,0.961981
1563,0.112629
1564,0.441628
1565,0.363547
1566,0.354212
1567,0.717106
1568,0.110108
1569,0.964211
1570,0.604454
1571,0.890209
1572,0.133341
1573,0.31565
1574,0.051041
1575,0.663056
1576,0.824226
1577,0.858453
1578,0.664238
1579,0.95177
1580,0.471402
1581,0.478152
1582,0.991163
1583,0.566856
1584,0.830649
1585,0.616307
1586,0.560296
1587,0.853942
1588,0.192327
1589,0.331193
1590,0.942091
1591,0.811301
1592,0.897056
1593,0.184815
1594,0.820354
1595,0.879816
1596,0.362245
1597,0.513547
1598,0.829037
1599,0.197061
1600,0.532938
1601,0.643859
1602,0.014206
1603,0.833379
1604,0.15019
1605,0.870838
1606,0.071413
1607,0.734857
1608,0.537312
1609,0.610041
1610,0.858412
1611,0.685858
1612,0.131151
1613,0.138623
1614,0.323031
1615,0.339262
1616,0.668219
1617,0.298641
1618,0.246201
1619,0.636794
1620,0.849314
1621,0.800583
1622,0.4828
1623,0.019287
1624,0.180525
1625,0.831797
1626,0.71943
1627,0.208551
1628,0.359075
1629,0.021515
1630,0.654607
1631,0.6666
1632,0.332186
1633,0.165919
1634,0.822286
1635,0.648673
1636,0.710959
1637,0.980021
1638,0.354733
1639,0.25555
1640,0.746064
1641,0.893027
1642,0.027661
1643,0.605887
1644,0.046203
1645,0.887277
1646,0.166078
1647,0.778739
1648,0.411939
1649,0.879393
1650,0.269315
1651,0.734553
1652,0.988576
1653,0.28964
1654,0.453495
1655,0.584294
1656,0.874056
1657,0.194539
1658,0.996766
1659,0.758498
1660,0.691584
1661,0.662348
1662,0.053029
1663,0.065978
1664,0.66153
1665,0.028246
1666,0.378325
1667,0.32732
1668,0.569428
1669,0.175213
1670,0.375881
1671,0.727436
1672,0.471023
1673,0.188504
1674,0.59706
1675,0.210036
1676,0.008145
1677,0.449052
1678,0.571223
1679,0.78838
1680,0.911211
1681,0.382248
1682,0.404149
1683,0.614868
1684,0.459737
1685,0.767044
1686,0.105696
1687,0.515929
1688,0.244691
1689,0.708215
1690,0.069379
1691,0.273075
1692,0.191703
1693,0.972424
1694,0.084281
1695,0.717737
1696,0.36628
1697,0.679725
1698,0.416704
1699,0.628449
1700,0.166152
1701,0.546423
1702,0.574412
1703,0.179305
1704,0.751663
1705,0.324865
1706,0.872856
1707,0.223492
1708,0.356158
1709,0.073799
1710,0.985828
1711,0.577987
1712,0.467817
1713,0.667191
1714,0.66432
1715,0.73624
1716,0.614315
1717,0.774076
1718,0.698996
1719,0.818218
1720,0.522708
1721,0.308388
1722,0.954644
1723,0.462393
1724,0.87666
1725,0.718299
1726,0.25125
1727,0.861415
1728,0.065627
1729,0.633494
1730,0.949916
1731,0.914946
1732,0.29702
1733,0.306198
1734,0.631708
1735,0.487328
1736,0.777422
1737,0.310069
1738,0.053078
1739,0.521222
1740,0.861625
1741,0.955132
1742,0.093384
1743,0.265245
1744,0.894498
1745,0.352595
1746,0.11278
1747,0.592432
1748,0.567787
1749,0.542323
1750,0.100458
1751,0.636158
1752,0.641163
1753,0.98248
1754,0.06784
1755,0.798955
1756,0.35708
1757,0.065753
1758,0.093481
1759,0.061299
1760,0.692686
1761,0.196347
1762,0.500476
1763,0.794977
1764,0.552502
1765,0.500013
1766,0.842353
1767,0.778951
1768,0.672448
1769,0.431426
1770,0.885644
1771,0.911825
1772,0.056222
1773,0.345498
1774,0.029191
1775,0.416378
1776,0.089833
1777,0.894822
1778,0.908645
1779,0.43195
1780,0.438748
1781,0.024831
1782,0.522863
1783,0.922826
1784,0.432569
1785,0.531957
1786,0.105149
1787,0.745082
1788,0.786983
1789,0.25253
1790,0.124311
1791,0.57291
1792,0.825381
1793,0.590733
1794,0.202091
1795,0.28813
1796,0.25934
1797,0.337167
1798,0.663711
1799,0.992608
1800,0.92028
1801,0.60461
1802,0.021858
1803,0.008885
1804,0.541994
1805,0.028055
1806,0.282923
1807,0.710279
1808,0.200036
1809,0.514448
1810,0.015119
1811,0.026086
1812,0.468999
1813,0.789717
1814,0.218891
1815,0.680136
1816,0.720493
1817,0.69931
1818,0.814828
1819,0.553731
1820,0.052947
1821,0.308399
1822,0.27862
1823,0.068804
1824,0.376053
1825,0.08386
1826,0.536781
1827,0.503233
1828,0.069178
1829,0.691052
1830,0.540755
1831,0.654944
1832,0.547249
1833,0.901465
1834,0.694068
1835,0.238699
1836,0.576459
1837,0.775443
1838,0.339752
1839,0.824925
1840,0.82639
1841,0.563006
1842,0.808705
1843,0.973059
1844,0.974205
1845,0.073701
1846,0.134298
1847,0.676381
1848,0.712842
1849,0.761484
1850,0.692156
1851,0.354181
1852,0.069886
1853,0.6125
1854,0.893793
1855,0.402565
1856,0.532372
1857,0.01468
1858,0.588645
1859,0.046647
1860,0.184465
1861,0.58276
1862,0.6417
1863,0.078641
1864,0.907739
1865,0.939466
1866,0.976186
1867,0.066346
1868,0.617971
1869,0.534331
1870,0.977753
1871,0.989581
1872,0.880059
1873,0.981791
