hour,nl,de,uk
145,27030.5,32220.5,31322.5
146,25844,31607.5,31612.5
147,25145,31091.5,32267
148,24752,30702.5,33448.5
149,25020,30313,31690
150,26125.5,30055,29599.5
151,28832,30153.5,27653
152,32243,30228,25112
153,33329.5,30184.5,23815.5
154,33398,29209,23451
155,33644.5,28271,23143
156,33934,27695,23339
157,33906,25748.5,23940.5
158,33593,24318,25445
159,33159,23668.5,29383.5
160,33035.5,23092.5,32395
161,33128,23040.5,33229.5
162,34765,23451,33360
163,35162.5,24063,33811.5
164,34683,27247,34348.5
165,33170,30109,33800.5
166,31869,31276.5,32959
167,31076.5,31642,31756.5
168,29230.5,32317,30943
169,27670.5,32807,30200
170,26576.5,32319,30355
171,25792.5,31656.5,31038
172,25255,31031.5,32791.5
173,25448.5,30543,31273.5
174,26392,30327,29385.5
175,28774,30366,27830
176,32035.5,30211.5,25497
177,33156.5,29795.5,23555
178,33392.5,28586.5,22529.5
179,33700.5,27484,21831.5
180,34013.5,27038,22050.5
181,34034.5,25151,22275.5
182,33394,23695,22696.5
183,32872.5,22697,23179.5
184,32533,22149.5,24437
185,32832,21756.5,25764
186,34554,21903.5,26908
187,34785.5,21637.5,27569.5
188,33913,22764,27796.5
189,32110,24005.5,27179
190,30992.5,25225.5,26050.5
191,30705.5,26411.5,25438.5
192,29278,27118.5,25082
193,28178.5,27245,24829
194,27178.5,26376.5,25390
195,26477.5,25219,26567.5
196,25922.5,24406,28375
197,25701.5,24062,27034
198,25485,24158,25304
199,25202.5,24616.5,24229
200,26288,25435,22263
201,27803.5,25502,20645.5
202,29356,24556,19917
203,30407,24105.5,19864.5
204,31098.5,23986,20303.5
205,31301,22779,20429.5
206,30785.5,21150.5,20521.5
207,29939,20511,20417
208,29694,20308.5,20561
209,30114.5,20208,21497
210,31618,20181,22416.5
211,32149.5,19668.5,23349.5
212,31339,20029,24348
213,29667.5,20816,23811
214,28848.5,21640.5,22586.5
215,28970.5,22486,21584
216,28032.5,23283,21192.5
217,26655.5,23983.5,21309.5
218,25500,23325,22542.5
219,24795,22559.5,24431.5
220,24053.5,22198,26584.5
221,23569,22033,25591
222,22872.5,22169,24627
223,21729,22848,24098
224,22085,23864,22268
225,23361,24332,21150
226,24873,24280,20890.5
227,25873,24259,21111
228,27199,24686,21334.5
229,27271.5,23535,22230.5
230,26305.5,22069,23524
231,25629,21601.5,27734.5
232,25442,21916,30937
233,25974.5,21835,32001.5
234,28310,22193.5,32070
235,29561.5,23094.5,32236.5
236,29396.5,26804.5,32510
237,28276.5,29774,32091
238,27580,31554.5,31532.5
239,28053,32176.5,30877.5
240,26906,32805.5,30601
241,25765,33465.5,30064.5
242,24755,33088.5,30476.5
243,24301,32797.5,31524
244,24052,32295,33331
245,24308,31515.5,31619
246,25433,31261,29710
247,28544.5,31202,27846.5
248,31721.5,30900,25520
249,33046.5,30479,23919.5
250,33462,29335,23449.5
251,33898,28630,23252
252,34449,27774,23537.5
253,34515.5,25770,24361
254,34262,24416,25644
255,33755.5,24136.5,28812
256,33446,23311,31804
257,33424.5,23147.5,32540
258,34736.5,23378.5,32705
259,35258.5,24000,33026.5
260,34866.5,27226.5,33489.5
261,33429,29842,32979.5
262,32132.5,31188,32467
263,31483.5,31699.5,31838.5
264,29526.5,32507,31318
265,27936.5,33013.5,30866
266,26887,32470.5,31164.5
267,26269,32108.5,32213.5
268,25977.5,31575,33728.5
269,26151,31295.5,31943.5
270,27135.5,30779,30129
271,30418.5,30473,28346
272,33802,30195.5,25869.5
273,34857.5,30000,24664
274,34860.5,29001.5,24005.5
275,35017.5,28120.5,23705
276,35113,27432,24156.5
277,35231,25352,24894.5
278,34975.5,23924.5,26183.5
279,34540.5,23016,29523
280,34333,22729,31956.5
281,34463,22916.5,32795.5
282,36017,23406.5,32948
283,36565,24115.5,33339.5
284,36079.5,27306,33761.5
285,34463,29980,33213
286,33163,31450.5,32612.5
287,32198.5,31848.5,31882.5
288,30296.5,32547.5,31247.5
289,28854.5,33146.5,30710
290,27906,32874.5,31014.5
291,27175.5,32506,32110.5
292,26740.5,31895,33770
293,27030.5,31436,31932
294,28017,30540,30192
295,31087,30418.5,28603.5
296,34488,30964.5,26169.5
297,35596.5,30819.5,24693
298,35553,29806,24301.5
299,35831.5,29054,23974
300,36042,28117,24190.5
301,35863.5,26209,24924
302,35774.5,24874,25920
303,35385,23997.5,29225.5
304,35193,23559.5,32063
305,35177,23506,33053
306,36566.5,23799.5,33306.5
307,36996,24652,33807.5
308,36370,27441,34302
309,34464,30323.5,33921.5
310,32952,31469,33379
311,32119,31921.5,32693
312,30272.5,32657,32223
313,28093,33432,31549
314,27029,32837.5,31887.5
315,26247.5,32236,32998
316,25968.5,31497.5,33828
317,26051.5,31021.5,31997.5
318,27090.5,30492.5,30230
319,29962.5,29970,28730.5
320,33189,29510,26330
321,34230.5,29575.5,24766.5
322,34296.5,28825,24007
323,34571,27805,23866.5
324,34918,27242.5,24116
325,34899,25079.5,24838.5
326,34634.5,23382,26010
327,34115,22763,29119.5
328,33760.5,22259,32140.5
329,33620,22559.5,33212.5
330,35046.5,23102.5,33607.5
331,35506.5,23757.5,34180.5
332,34889.5,26575,34633
333,33162,28980,34291
334,31614,30012.5,33542
335,30802.5,29909,32583.5
336,28887.5,30507.5,32060.5
337,27336,32073,31492.5
338,26302,31408.5,31602.5
339,25723.5,30566.5,32527
340,25467.5,29811,32891
341,25718.5,29429,30462.5
342,26748,29254,28750
343,29487,29457.5,27738
344,32816.5,29331,25658
345,33992,29077.5,23780
346,34141,27871,22604
347,34569,26856.5,22083.5
348,34900.5,26512.5,22182.5
349,34670.5,24542.5,22628
350,34173,22879.5,22585
351,33405.5,21947.5,22845.5
352,33025.5,21196.5,24422
353,32929.5,21422,26325
354,34175,21928,28052
355,34519.5,21851,29250
356,33737.5,22215.5,29859.5
357,31930.5,23049,29344
358,30518.5,24300.5,28340
359,30069,25519.5,27543.5
360,28471,26560,27201
361,26966,27128,26877.5
362,25817,26550.5,27448
363,25082,25660,28741.5
364,24608.5,24731.5,28962.5
365,24394.5,24121,27047.5
366,23976.5,24251.5,25544.5
367,23730,24456,25013.5
368,25232,24330,23666
369,26927,24078.5,22007.5
370,28458,22921.5,21048.5
371,29339,22219,20528.5
372,29971.5,22279,20771
373,29810,20926,21029
374,29029.5,19537.5,20931
375,28443.5,18860,20598.5
376,28387.5,18536.5,20874.5
377,28729,18788.5,21929
378,30523,18751.5,23606
379,31423.5,18271,25133.5
380,30717,18563.5,26558.5
381,28914,19360,26380.5
382,28191,20032.5,25281
383,28307.5,20583,24538
384,27174.5,21342,23918.5
385,25967,22267,23544
386,24741,21872.5,24185.5
387,23768,20765,26075.5
388,23369,20151.5,27216
389,23016.5,19752.5,26058.5
390,22188,19739.5,25456
391,21162,20590.5,25483
392,21350.5,21379,23870
393,22620,21848.5,22615.5
394,24339.5,21845,21869
395,25585,21962.5,22021.5
396,26882.5,22553.5,22296
397,26860.5,21078.5,23008
398,25932.5,19948.5,24361.5
399,25181.5,19175.5,28004
400,24852.5,19249,31324.5
401,25035,19670,32588.5
402,27113.5,20236,33020.5
403,28518,21134.5,33520
404,28316.5,24562.5,34000.5
405,27258.5,27610,33659.5
406,26681,29147,33271.5
407,26989,29633,32544
408,25511.5,30725,32133
409,24177.5,31512.5,31261.5
410,23199.5,31057.5,31354.5
411,22711.5,30441.5,32740.5
412,22675,29874,33691.5
413,23202.5,29456.5,31831
414,24564.5,29357.5,30164
415,27494.5,29533,28798.5
416,30916.5,29316,26510.5
417,32369,29074.5,25108
418,32780,27990.5,24795
419,33038.5,27310,24349.5
420,33643.5,26672.5,24575
421,33502.5,24429,25306.5
422,33343.5,22977,26494.5
423,32829,22394,29473
424,32513,22295.5,32536.5
425,32353.5,22256,33690
426,33718.5,22699.5,33878.5
427,34335.5,23502.5,34475.5
428,33782.5,26333.5,34843
429,32128,28835,34553.5
430,30791,30189.5,34307.5
431,29874,30685,33724
432,27535,31249,33266
433,25770.5,31782.5,32455
434,24868.5,31437,32354
435,24521.5,31052.5,33319.5
436,24528,30566,33869
437,25052.5,29990,31877
438,26190.5,29619,30273.5
439,29258,29939,28804.5
440,32651,29947.5,26769
441,33912,29764.5,25130
442,33907.5,28675.5,24705
443,34159,27944.5,24558.5
444,34399,27232.5,24372.5
445,34181.5,24994.5,24881
446,33879,23315,26040.5
447,33362,22711.5,29060.5
448,33176,22659,32292.5
449,33072.5,22558,33414.5
450,34356,23078.5,33700.5
451,34934.5,23784,34297
452,34485,26672.5,34794.5
453,32666.5,29319.5,34509
454,31250,30595.5,34281
455,30203.5,30951.5,33766.5
456,27972.5,31647,32968.5
457,26306.5,32242,32205.5
458,25429.5,31899.5,32439
459,24833.5,31684.5,33992
460,24841.5,31209.5,34735.5
461,25248.5,31037.5,33457.5
462,26317.5,30763,32219
463,29356,30890.5,31119.5
464,32856.5,30836.5,29013.5
465,33949.5,30278,27701
466,33917.5,28832,27046.5
467,34028.5,28258,26607.5
468,34190.5,27300,26505.5
469,33844,25138.5,26363
470,33548,23739.5,26682.5
471,33155.5,23008.5,29831
472,33022.5,23097.5,32933.5
473,33022,23192.5,33661.5
474,34492,23692,33744
475,35312,24465.5,34321.5
476,34722,27173,34900.5
477,33042,29833.5,34671.5
478,31327,31225,34144.5
479,30370.5,31618,33164
480,28337.5,32325,32614.5
481,26742,32916.5,31958
482,25781,32653.5,32221
483,25302,32362.5,33841
484,25174,31927,35453.5
485,25452.5,31404,33999
486,26522.5,30977,32702
487,29410.5,30869.5,31355
488,32942.5,30550,29302.5
489,33962,29928.5,27969.5
490,33835,28747.5,27533.5
491,33851,27891,27114.5
492,34344,26702,27093.5
493,34223.5,24517.5,27278.5
494,34018.5,23132,28271
495,33696,22378.5,30911
496,33438.5,22402.5,33572.5
497,33262,22510.5,34334.5
498,34521.5,22949,34356.5
499,35112.5,23759.5,34643
500,34691.5,26503,34917.5
501,33009.5,29281,34573
502,31452.5,30981.5,33844.5
503,30436,31553,33083
504,28312.5,31966,32411.5
505,26541.5,32465,31709.5
506,25619.5,31938.5,31793
507,24905.5,31325,32983.5
508,24868,30504.5,33257.5
509,25150,29974,31375.5
510,26217.5,29719,29776.5
511,29147.5,29498.5,28821.5
512,32630.5,29081.5,26834
513,33953.5,28417.5,25028
514,34003.5,26984.5,24185
515,34059,26118.5,23553.5
516,34211,25078,23254.5
517,33284.5,23071,23244
518,32752,21497.5,23339
519,32409.5,20842,23496
520,32112,20421.5,24794
521,32047.5,20424,26566
522,33685,20730.5,27770.5
523,34229,21078,28592
524,33517.5,22039,29064
525,31778.5,23366.5,28600.5
526,30193,24966.5,27635
527,29669,26648.5,26930.5
528,27857,27810,26605
529,26205.5,28278.5,26537.5
530,25178,27543,27478
531,24442.5,26608,29420.5
532,24088.5,25594,29467.5
533,23941.5,25054,27568.5
534,23617,24820.5,26612
535,23419.5,24789.5,25980.5
536,24974,24864,24281
537,26948,24406.5,22737
538,28442.5,23391,21935.5
539,29289.5,22869,22049
540,29814,22697.5,21968
541,29525,21218,22296
542,28550.5,20370,22343
543,27815.5,19568,22333
544,27655,18944,23077
545,27816.5,19118.5,24196
546,29584,19197.5,25537.5
547,30470,18881.5,27176
548,29763,18965,28522.5
549,28080.5,19323,28667
550,27041.5,20315,27647
551,27107,21121.5,26560.5
552,25880,22109,25958.5
553,24400,23010.5,25713
554,23312.5,22333,26006
555,22565,21701,27728
556,22175,21393.5,28384
557,21986,21206,27128.5
558,21390.5,21165,26320.5
559,20549,21571.5,26149
560,20997.5,22252,24392.5
561,22290.5,22475.5,23380.5
562,23812,22250.5,22728.5
563,25027,22347.5,22892
564,26272,22472,23372.5
565,26276,20844,23774.5
566,25354.5,19836.5,24860
567,24630.5,19612.5,28978.5
568,24459.5,19609.5,32465
569,24792,19805.5,33430
570,26878,20377,33633.5
571,28405,21446.5,33809.5
572,28347,24523,34120
573,27359.5,27861.5,33783.5
574,26667.5,29677.5,33706.5
575,26939.5,30580.5,33262.5
576,25781,31411.5,32766
577,24269.5,32248.5,31870
578,23301,32136,31989
579,22884,31584.5,33645.5
580,22724,31015,34410.5
581,23337,30568,32706
582,24666,29844,31174.5
583,27623,29667,29806
584,30764.5,29597.5,27677
585,31951.5,28850.5,26247
586,32414.5,27400,25818.5
587,33020,26648.5,25387
588,33627.5,25451,25570
589,33506,23230,25932.5
590,33256,21785.5,26937.5
591,32680.5,21184.5,30400.5
592,32354.5,21112.5,33778
593,31994,21059,34179.5
594,33407,21526,33513.5
595,34282.5,22450,33381.5
596,33814,25288,33781
597,32330.5,28236,33443
598,31011,29798.5,33236.5
599,30183,30651,32665
600,28153.5,31416.5,32267.5
601,26579,32063.5,31742.5
602,25543,31601,31912.5
603,25109.5,31160.5,33988.5
604,24988.5,30514,34284.5
605,25332.5,29894.5,32546.5
606,26561.5,29131,30949.5
607,29657,28994.5,29505
608,32992.5,28935,27259
609,34005.5,28773.5,25713
610,34175,27762,25133.5
611,34514,27251,24857
612,34735.5,26107.5,25116.5
613,34519.5,23713,25651.5
614,34466.5,22127,26752
615,34151,21633.5,30367.5
616,33785,21621.5,33359
617,33516,21665.5,34136
618,35245.5,22245,33930
619,35956,23018.5,34208
620,35408.5,25897,34489
621,33847.5,28782.5,34089.5
622,32482,30707,33786.5
623,31894.5,31550.5,33274.5
624,30358.5,32366.5,32830
625,29084,33205,32200.5
626,28088,32850,32611.5
627,27422,32307,34340
628,26739,31507,34418
629,26693,30589.5,32472.5
630,27686,29788,30796.5
631,30616,29533,29256.5
632,34059,29452.5,27062.5
633,34949.5,29001,25552
634,35045,27762.5,24930
635,35341.5,26775.5,24499
636,35755,25576.5,24533.5
637,35640,23349,25026
638,35631.5,22192.5,26076.5
639,35429.5,21518.5,29835
640,35277,21534,33165.5
641,35342,21521.5,34059.5
642,37477.5,21954,33782.5
643,38412,22784.5,34080.5
644,37723.5,25539.5,34470
645,35852.5,28306,34006
646,34409.5,30322.5,33587
647,33682,31237,32954.5
648,32022.5,31745.5,32599.5
649,30355,32131,32012
650,29349.5,31547.5,32351.5
651,28470,31023.5,34084
652,27936.5,30412.5,34185.5
653,27735.5,30057,32551
654,28469,29517,30869.5
655,31128.5,29444,29364
656,34290,29155.5,26956.5
657,35263,28842.5,25564.5
658,35465.5,27786,24946.5
659,35944.5,27266.5,24643
660,36569,25949,24749.5
661,36608,23767,25460.5
662,36305,21968.5,26500
663,35776.5,21474.5,29848
664,35342.5,21341,33253.5
665,34694.5,21330.5,33810
666,35826,21613.5,33216.5
667,36575,22341.5,33148
668,35689,25021.5,33178
669,33910.5,27819,32571
670,32276.5,29495,31935
671,31438.5,29973,31294.5
672,29564.5,30499,30664.5
673,28007,31119,30343.5
674,26717.5,30631,30955
675,25941,29664,33252
676,25745.5,28791.5,33467.5
677,25799.5,28189,31416.5
678,26790.5,27778,29617
679,29331,27638.5,28545
680,32554,27411,26454
681,33683.5,26969,24662
682,34069,25875,24132
683,34262.5,25499,23741
684,34431.5,24497.5,23584.5
685,34231.5,22609.5,23697.5
686,33587,21045,23511
687,32945.5,20182,23603
688,32562.5,19789.5,25178.5
689,32348,19584.5,26572
690,34083,19785,27625.5
691,34632,19922.5,28328.5
692,33825,20627,28551.5
693,31818.5,21754.5,28136.5
694,30606,23114.5,27300.5
695,30242,24432,26591
696,28859.5,25172.5,26226
697,27444,25397.5,26157.5
698,26544,25036,27064.5
699,25935,24247,29032
700,25719,23694.5,28907
701,25624,23108.5,27042
702,25037,22977,25626
703,24506,23464,25224.5
704,25672,23906.5,23342
705,27302.5,23797.5,21834
706,29050.5,22750.5,20963.5
707,29654.5,22498.5,20514.5
708,30082,22052,20849
709,29930,20877,20874
710,28997.5,19026.5,20681
711,28299.5,18414.5,20612.5
712,27797,18034.5,21690.5
713,27594,18127.5,23040
714,29318.5,18178.5,24064
715,30672,18170.5,24914
716,29796,18350.5,25917
717,28040.5,18706.5,25363.5
718,26959,19641.5,24184
719,27388.5,20652.5,23556.5
720,26375.5,21747,23528
721,25172,22697,23920.5
722,24139,22096,26462.5
723,23391,21308.5,27029.5
724,22785,20956,26187
725,22281.5,20569,24815.5
726,21808,20649.5,24146.5
727,21040,21274,23843.5
728,21352,22116.5,21938
729,22554.5,22390,20904
730,24160.5,22239.5,20517.5
731,25297,22668,20766
732,26618,22371,21105
733,26543.5,20625,21713
734,25686.5,19674.5,21819
735,24840,19443,23094.5
736,24591,19438.5,24514
737,24722,19397.5,25487
738,26900,19947,26054
739,28953.5,21193.5,26363
740,28675,24178,27078.5
741,27773.5,27415.5,26780
742,27151.5,29280,26327
743,27772,30194.5,25973
744,26484,31195.5,26011.5
745,26298.5,32090.5,26823
746,25536,31785,29421.5
747,25373,31205,30156
748,25160,30307.5,29500
749,25610.5,29866,27989
750,26455.5,29117.5,26732.5
751,29574.5,28866,25938
752,33052,28797,23961
753,34247.5,28424,22550.5
754,34721.5,27179.5,22108.5
755,35202,26510,21918
756,35465,24966.5,22314
757,35368,22799,23110
758,35282,21439,24512.5
759,34912,21213.5,28914.5
760,34565.5,20848,32170
761,33943,20794,33297
762,35183,21400,33646
763,36261,22178.5,34235
764,35418,24811.5,34933
765,33779,27555,34594.5
766,32472,29295,34271
767,31605.5,30199,33821
768,30029,30496.5,33765.5
769,29011,31315,33767
770,28480.5,31117.5,35497
771,27869.5,30359.5,35539.5
772,27320,29639.5,34559
773,27488.5,29205,32581
774,28353,28635,30790
775,30738,28535.5,29111
776,33982,28505,26563
777,35288,28043,24411
778,35547.5,27085,24232
779,35997,26803.5,24126
780,36579.5,25476,24560
781,36726.5,23133.5,25366.5
782,37007,21530.5,26372
783,36876.5,21204.5,30313
784,36694.5,20854.5,33378.5
785,36373,20813.5,34423.5
786,37395.5,21341,34347
787,38176,22268,34737
788,37225.5,24882,35427.5
789,35181.5,27740.5,34919.5
790,33272.5,29253,34375
791,32088.5,29573.5,33086
792,30350.5,30154,33192
793,28801.5,30898,33270.5
794,27559.5,30720.5,34971.5
795,26817,30618.5,34923
796,27236,30021,33906.5
797,27739.5,29650.5,32100
798,28143.5,28994,30373
799,30610,28618,28877
800,34271,28607.5,25936
801,35580.5,28359,24004
802,35836.5,27411,23540.5
803,36373,27140.5,23390.5
804,36876.5,25516.5,23895.5
805,36773,23183.5,24731.5
806,36562,21606.5,25905
807,36033.5,21310.5,29586.5
808,35757,20992.5,32550
809,35418,20954.5,33501.5
810,36443,21341,34439.5
811,37686.5,22260,34780
812,36515,25046,35210.5
813,34180,27810,35134
814,32364,29507,35055.5
815,31223,30275,34737.5
816,29162.5,30990.5,34380
817,27630,31569.5,34692
818,27187.5,31099.5,36132
819,26996,30579.5,36418
820,26764.5,29785,35851.5
821,26686,29322.5,34022
822,27481.5,28941.5,32404.5
823,30077.5,29044.5,30880.5
824,33353,28962.5,28309
825,34242,28571,27113.5
826,34296.5,27672,26368
827,34460,27166.5,25906.5
828,34595,25480.5,25973
829,34292,23028,26735.5
830,33983.5,21680.5,28310
831,33500,21330,32059
832,33266,20995.5,34494
833,32900,20977.5,34955.5
834,34223,21433,34553.5
835,35780.5,22405,34786.5
836,35023,24975,35155
837,33257,27634,34516.5
838,31736.5,29299.5,33927
839,30754.5,29885.5,33286
840,28703.5,30749,33077.5
841,27276.5,31471,33236.5
842,26694.5,31147.5,34838.5
843,26429.5,30156,34672
844,26527.5,29421.5,33457.5
845,27096,28787.5,31232
846,27797,28530,29364
847,30207,28669.5,28086.5
848,33576,28447.5,26095.5
849,34516,27925,24161
850,34434,26867.5,23188.5
851,34852,26156,22925.5
852,35036,24858,23212
853,34860,22851,23382.5
854,34116.5,21496,23554.5
855,33357,20681.5,23757
856,32848.5,20034.5,24966.5
857,32613.5,20118,26292
858,34112,20230,27748
859,34989,20591.5,28772
860,33985,21051.5,29451.5
861,32008.5,22158.5,28678.5
862,30361,23576,27829
863,29739,24477.5,27155
864,27977,25066.5,27048.5
865,26410,25451.5,27766
866,25427,24940,29818.5
867,24648,23824,30043
868,24445.5,23158.5,29024
869,24268,22740.5,26925.5
870,24094,22557.5,25596.5
871,23569,23125.5,25136.5
872,24676,23653,23570.5
873,26341.5,23588.5,21887
874,28080.5,22924.5,21189.5
875,28984,22993,20872.5
876,29489,22123.5,20843
877,29112,20450.5,21125.5
878,28326.5,19117,20872
879,27687.5,18580,20502.5
880,27450,18399.5,20729.5
881,27563,18486.5,21852.5
882,29086.5,18491.5,23359
883,30441,18522,24557
884,29520.5,18338.5,25956
885,27668.5,18891.5,25835
886,26605,20196,25024
887,26830,21419.5,24516
888,25567,22661,24351.5
889,24022,23646,25349
890,23094.5,23087,27793.5
891,22657.5,22480,28371
892,22709,21950,27776
893,22579,21599,26666.5
894,22050.5,21520,25799
895,20757,21886.5,25801.5
896,21095,22504.5,24065
897,22172.5,22593.5,22710.5
898,23663,22563.5,22538
899,25011.5,22943,22355
900,26427.5,22402,22825.5
901,26282,20730,23313
902,25202,19668,24676.5
903,24487.5,19413,28993
904,24261,19514,32226.5
905,24460.5,19634,33468
906,26189.5,20196,33488
907,28383.5,21560,33813.5
908,28098.5,24878.5,34265.5
909,27130.5,27838,34000
910,26520.5,29482,34020
911,27084,30106.5,33623
912,25904,30686.5,33536
913,25506.5,31450.5,33681
914,24971,31316,35481.5
915,24679,31102,35345.5
916,24608.5,30224.5,34419.5
917,24680.5,29269.5,32504
918,25761.5,28637,30737.5
919,29191,28651.5,29273
920,32915,28713,26789
921,34210.5,28559,25017
922,34620,27782,24477.5
923,35082.5,27668,24345.5
924,35461.5,25968.5,24483.5
925,35265.5,23469,25187
926,34999.5,21670,26091
927,34383.5,21208,30030
928,34005.5,21215.5,33396
929,33408,21309,34347.5
930,34359.5,21797,33992
931,35844,22820.5,34035.5
932,35206,25576,34254
933,33540,27943.5,33592.5
934,31995.5,29077,33405.5
935,31250.5,29598,33336
936,29348.5,30363,33588
937,28219,31012,34179.5
938,27610.5,30981,36047.5
939,27436,30852.5,35963
940,27154,30078.5,34908.5
941,27139,29547,32855.5
942,27876.5,29090,31030.5
943,30349,29230,29478.5
944,33585.5,29249.5,26836.5
945,34719,28856.5,25459.5
946,35011.5,28024,24826.5
947,34843.5,28092,24493
948,34802,26365.5,24614
949,35319,23917,25251
950,35230.5,22336.5,26188
951,34891,21839,29886
952,34657.5,21618,32937
953,34046,21722,33666
954,34956.5,22171.5,33636.5
955,36144.5,23329.5,34145
956,35379,26207.5,34537.5
957,33884.5,28926.5,34203.5
958,32715.5,30341.5,34242.5
959,31749.5,31067.5,34103.5
960,30047.5,31779.5,34244.5
961,28872.5,32398.5,34713
962,28038.5,32066,36186.5
963,27638.5,31410.5,35741.5
964,27371,30446,34662.5
965,27606.5,29721,32747
966,28289,29249.5,31042.5
967,30641,29405,29810.5
968,33665.5,29386,27698
969,34611.5,29123,26035.5
970,34881.5,28531,25556
971,35384,28113.5,24866
972,35820,26323,24912.5
973,35764,23767,25574
974,35501,22202.5,26599.5
975,35148,21784,29916.5
976,35027.5,21517,32751.5
977,34393.5,21604.5,33222
978,35200,22209.5,32674.5
979,36563.5,23267.5,32535
980,35990,26300,32912
981,34286.5,29046,33021.5
982,33045,30818.5,33049
983,32285,31230,33167
984,30540.5,31926.5,33816.5
985,29325,32620,34847
986,28584,32091,36497.5
987,27884,31436.5,36578.5
988,28037,30790,35936
989,28139.5,30154.5,34167.5
990,28649.5,29648,32543
991,31120,29768.5,31084.5
992,33936.5,29656,28812.5
993,34898.5,29285.5,27054
994,35335,28389.5,26136.5
995,36011,27683.5,25969.5
996,36423,25859.5,25804
997,36317.5,23538,26153
998,36149.5,21843.5,27220
999,35643.5,21250.5,30572
1000,35154,21103.5,33665.5
1001,34225,21119,34677
