hour,nl,de
183,4418,3884
184,3225,2855
185,3244,2903
186,3855,3744
187,4833,3624
188,4718,3996
189,2697,2061
190,3737,2638
191,4428,3034
192,2447,3593
193,4612,4672
194,3085,3809
195,2479,2032
196,4100,2454
197,4261,2128
198,2628,4651
199,4055,3924
200,2794,2712
201,3029,3869
202,3492,4436
203,4873,2867
204,3641,3343
205,2731,2552
206,3173,3176
207,2939,2331
208,4751,3867
209,4702,3297
210,2877,3644
211,4720,4965
212,2024,2921
213,2420,3824
214,4137,3848
215,3250,3776
216,3665,4727
217,2991,2591
218,3082,2400
219,3382,3723
220,3688,2653
221,4819,3038
222,2810,4757
223,4136,4246
224,4430,2710
225,3896,3566
226,4616,4278
227,3530,3164
228,3157,3695
229,2243,3929
230,2584,2088
231,3951,4408
232,3273,2798
233,4077,4524
234,3824,2274
235,4914,4141
236,4808,2076
237,4997,3451
238,2852,4472
239,4558,3944
240,4699,4748
241,3729,3116
242,4277,3908
243,4723,2669
244,4150,4940
245,3414,2756
246,2973,4445
247,2815,4667
248,4405,3347
249,4055,4845
250,4198,3389
251,3093,4001
252,3874,2883
253,2007,3145
254,2229,3246
255,3304,3594
256,3904,4711
257,4845,2524
258,4835,4758
259,2060,3405
260,2087,4453
261,2418,4846
262,4011,2812
263,3361,2250
264,4495,4370
265,2835,3087
266,3274,4392
267,4303,4446
268,2831,4538
269,4126,3864
270,3861,3389
271,2529,4286
272,2855,4980
273,3137,2296
274,2252,4955
275,2005,4920
276,4551,3053
277,3225,4400
278,2820,4586
279,3956,4400
280,2280,4244
281,2017,2974
282,2048,3401
283,4155,2127
284,2025,4119
285,2277,4647
286,2458,3721
287,3929,3830
288,2122,2171
289,2292,3479
290,3990,2235
291,2209,4624
292,2711,3325
293,3001,3047
294,3571,4875
295,2206,2694
296,3836,4134
297,4845,4267
298,4509,2139
299,4668,3672
300,3971,3131
301,3370,3529
302,2197,2957
303,4827,3111
304,4507,3826
305,2449,2911
306,4832,3030
307,4058,4879
308,3675,2310
309,2651,2615
310,3014,4279
311,3956,4555
312,2668,3590
313,3062,2679
314,3110,4683
315,2694,2709
316,3340,2326
317,3569,3404
318,4623,4539
319,3463,2497
320,3862,4883
321,3613,4774
322,3673,2121
323,4573,3208
324,4614,2821
325,2243,4996
326,4780,3902
327,3450,4956
328,2087,4263
329,4289,4042
330,3117,3627
331,4058,2393
332,2658,2570
333,3314,4584
334,3884,3504
335,2164,4396
336,3764,2495
337,3716,4534
338,4223,4274
339,2439,2806
340,4367,2149
341,2236,3552
342,4395,2361
343,2035,3740
344,3299,4231
345,2505,2043
346,2729,4449
347,4640,4557
348,4074,3448
349,2352,3988
350,3102,2053
351,2936,3331
352,3965,3762
353,4775,2175
354,2508,4539
355,3579,4583
356,2017,2170
357,2287,3440
358,2028,4539
359,2105,4434
360,4577,2481
361,3146,3166
362,4163,4827
363,2234,3051
364,4461,2750
365,3047,3330
