,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
coalPrice-22,3.6,3.5611228142,3.6310138414,3.5753697288,3.5797994607,3.7413777862,3.8275873565,3.9247098068,3.9597650628,4.0319391376,4.0742841155,4.2534559425,4.2070803964,4.2335134267,4.2914047649,4.3483695853,4.3812865587,4.4561703446,4.5787452522,4.6722146377,4.5965936445,4.6709767778,4.5793809367,4.6669026533,4.7931875771,4.868704504,4.7440229852,4.7766156017,4.7095319572,4.8875901143,4.8790704225,4.9322686344,4.9677687106,5.027915804,5.1201310577,5.000674441,5.013790063,5.0837854759,5.1829687209,5.1437744703,5.252811423,5.3577905287,5.4135200762,5.459532389,5.4657970045,5.5154931904,5.5708396915,5.7915784209,5.8044227711,5.7245983301
coalPrice-23,3.6,3.6478436962,3.5876000029,3.6719337447,3.6923769278,3.8696422909,3.958275946,3.9487061046,3.9974084048,4.0756558055,4.1452354322,4.2294053652,4.2530837422,4.3426815506,4.3366306345,4.4775486643,4.5353897691,4.6152022985,4.6144825996,4.7242101142,4.7511298704,4.8934621107,4.9253365191,5.0517414765,5.1872951477,5.2771471157,5.3912092614,5.4689636686,5.5117812479,5.6255739481,5.5957691531,5.5292050927,5.6165599709,5.7118219715,5.781488425,5.9776005262,6.0044922418,6.1161901375,6.2995026373,6.20552993,6.2449199135,6.3087642248,6.4319301222,6.3247732618,6.3728786306,6.4541377736,6.5449105257,6.571371138,6.5870666571,6.6197534989
coalPrice-24,3.6,3.6438672535,3.7740927306,3.9447931358,4.0278036894,4.0577823589,4.1376084174,4.1083305426,4.2127543609,4.4061508593,4.4264320594,4.567913369,4.6277141569,4.5620973084,4.7268061848,4.7534050707,4.8528649576,4.963470588,5.083975542,5.2820023375,5.1914398633,5.4258392196,5.4895759253,5.3558791295,5.4269503344,5.3840879763,5.422610665,5.3214105761,5.4743076403,5.5527807469,5.5004278105,5.607569478,5.5989142514,5.6423681176,5.6946098003,5.6565176517,5.605707499,5.7376707575,5.8440551768,5.9116642327,6.1612815331,6.2162671702,6.4457136895,6.4973103415,6.6195109216,6.6627005196,6.6851119464,6.7018261359,6.9196198736,7.0023792693
coalPrice-25,3.6,3.6141740536,3.5559821682,3.6424408708,3.6839738449,3.6244066304,3.7326016661,3.7566705053,3.7417957655,3.7334757474,3.788389756,3.7481601619,3.816272038,3.833601064,3.8899240454,3.7784611033,3.8946925268,3.9674384326,4.0226702797,4.0814072139,4.1502006044,4.1476878829,4.1559370865,4.2547534899,4.3505391965,4.476378406,4.5774048898,4.5440009609,4.6753803022,4.7092380929,4.7561921984,4.7344295049,4.8249263649,4.9149557459,5.1203258831,5.1382305982,5.0802820323,5.0408880971,5.2259358743,5.4424335543,5.6497461123,5.7341255472,5.84459538,5.9526617926,6.0027981047,5.9968001242,6.1542828916,6.2139698043,6.2348986465,6.2773636981
coalPrice-26,3.6,3.6158367181,3.6074721003,3.6836252537,3.7542002294,3.7609194736,3.8136138727,3.8718064961,3.9062655919,3.9601485091,4.01119298,3.9318445003,3.8617322757,3.9028243522,3.9276750071,3.8600254945,3.9169032028,3.9074565109,4.02905724,4.0291174181,4.0246240832,3.9909779458,4.1542003857,4.2742575578,4.2671168268,4.3340052616,4.3783551169,4.3995963167,4.4242291855,4.3672245372,4.3651866724,4.5791263145,4.6502850244,4.7328715005,4.7313328185,4.6791510118,4.8909952102,5.0988447908,5.0325060929,5.0291576777,5.1812223598,5.275806352,5.3941967008,5.4845924957,5.6555609873,5.7536192604,5.7892865118,5.8174986714,5.7359935565,5.7383096214
coalPrice-27,3.6,3.5674408913,3.5833000161,3.6220177107,3.6127742329,3.647593365,3.6304048221,3.6247478497,3.6522206352,3.6855137048,3.6273603866,3.6071134471,3.5902461646,3.6603065629,3.6854482254,3.8026977631,3.9076670286,3.8141599384,3.9137191274,4.0109343179,4.1321439363,4.0758974214,4.1137481467,4.0124742611,4.0455363461,4.0682434181,4.0817140661,4.0310588565,3.999832462,3.9828707071,3.9571262109,4.0891092443,4.2001954577,4.3398678271,4.5145273726,4.5754745086,4.524605658,4.5034073414,4.5057455866,4.6583760128,4.7151122934,4.8292018357,4.9854041306,5.0854340467,5.1949475552,5.0812250648,5.104318762,5.0713873382,5.1319473491,5.1597346162
coalPrice-28,3.6,3.5649003515,3.6502982443,3.706374492,3.7384429068,3.7317188731,3.7829972943,3.7755701199,3.8375143562,3.8112327922,3.7428800481,3.7319547329,3.7324181072,3.75335814,3.8206756654,3.9550990236,4.0200018139,3.9447945632,3.9799618325,4.0533352926,4.15406246,4.1215665288,4.1850882086,4.1782173904,4.2651899705,4.2910092974,4.2246085481,4.1145043574,4.0706947111,3.9907765374,4.1295911436,4.1593071379,4.2506655813,4.2963660005,4.269400476,4.3398744536,4.2779926675,4.378049077,4.4118171477,4.5095972665,4.4743783474,4.4834632158,4.4941617366,4.6625231982,4.7043120576,4.7279540095,4.6734857011,4.7728517272,4.9448950196,5.0296736578
coalPrice-29,3.6,3.6011401766,3.7456167694,3.7599460254,3.805912051,3.7785948108,3.7071696994,3.6719742328,3.785934504,3.8458763464,3.8100706073,3.8787144014,3.8815503859,3.9905625842,4.0967041317,4.1492465461,4.1609511849,4.2532978818,4.2797570542,4.3258587616,4.2782059483,4.3446014903,4.3706397555,4.4584305416,4.6062867213,4.7570264216,4.7534973489,4.6936491251,4.6619916326,4.6692728072,4.6441891745,4.55228795,4.5775956794,4.6278784184,4.6531672051,4.7377381709,4.7729149529,4.7622472485,4.8241361649,4.8073363278,4.8779442767,4.8478547029,4.9181355108,4.9612691438,5.0214530046,4.9690378757,5.0678859859,5.0527780066,5.0618811342,5.0612164909
coalPrice-30,3.6,3.5779289941,3.6381687494,3.6344800767,3.6571215317,3.7628436474,3.7917514897,3.8316697898,3.9776820413,4.0114365184,3.999928852,4.1413312331,4.2388152863,4.3606895867,4.2477076113,4.3041849142,4.4005565754,4.4802822559,4.4326355074,4.436343003,4.4506281725,4.594948613,4.6780903286,4.6051855195,4.6909593884,4.7356292125,4.8543029654,4.8725945414,4.8936559752,4.9123169996,4.8382146365,4.8102152942,4.6840876805,4.6733612778,4.8087915309,4.8015152178,4.7714522828,4.7729358341,4.7448488024,4.7715179925,4.8842910473,4.8597145538,4.9742248888,4.8977355017,4.8263278137,4.8108869869,4.7438552192,4.7399754991,4.7901755243,4.8648439146
coalPrice-31,3.6,3.6190540648,3.6961857504,3.8112161966,3.8976503526,3.9918843496,3.9460728239,4.0736119225,4.1311481573,4.1771612239,4.221317908,4.3771458621,4.4496349291,4.5362608747,4.7287520099,4.808965824,4.8988720242,4.9627139315,5.1270615829,5.3074765569,5.3993601795,5.4048926529,5.4672570949,5.5861601376,5.8006134339,5.6458015119,5.5515012118,5.6691867853,5.698546994,5.7041061958,5.7380610629,5.8360740522,5.9324854304,5.7775230009,5.961667017,5.9654955309,6.0600464628,6.122128541,6.1611930866,6.2048752705,6.3606317107,6.3625549126,6.1918280612,6.2306248745,6.2722042498,6.2842948583,6.4157926112,6.4465752687,6.3290643328,6.5710975234
coalPrice-32,3.6,3.7097700458,3.7310607396,3.7668084866,3.9045159272,3.8911362148,3.9928723035,4.037506801,4.0393036344,4.022040247,4.1229882767,4.1998622802,4.1619755261,4.2681701092,4.3177905509,4.3388505534,4.4306810682,4.366522941,4.4253045748,4.5217626307,4.616488858,4.6275985507,4.5859204054,4.7333556426,4.6472618207,4.6296975923,4.7411520978,4.8673358822,4.9729526204,4.8957230475,4.9163160954,5.0116366155,4.8900634413,4.9799178676,4.9915589316,5.0170086962,5.1962808572,5.3101029698,5.4952684058,5.7191882103,5.7428161952,5.9209959727,5.9259374068,5.7804001994,5.8023473283,5.916354404,5.8768900995,5.926270519,5.9728010162,6.0511547926
coalPrice-33,3.6,3.5477526783,3.567742565,3.6225788252,3.7077402955,3.7444936398,3.7148247484,3.7639297536,3.6661703407,3.7184983295,3.7230953537,3.7623492525,3.692834067,3.8068484346,3.9233824709,3.9593661263,4.0854937408,4.0431938214,3.9577150671,3.9546199035,4.0261613455,4.0426042591,4.0572286862,4.0906085687,4.1297368353,4.2719851682,4.379309998,4.3341647888,4.4392417087,4.5398252992,4.5825708603,4.7763801782,4.8961447349,5.0210428804,5.0999367804,5.1236770062,5.2039736656,5.2644510343,5.4133958317,5.5075665009,5.5702664377,5.626484609,5.7608113646,5.6365354466,5.7350175684,5.7180682346,5.8292824513,5.8761706923,5.8561916976,6.0013315395
coalPrice-34,3.6,3.6587609317,3.7257917355,3.7709296453,3.7217540707,3.7659890315,3.884564758,3.9074288076,3.8848491266,3.9337528898,3.9664181629,4.0203082773,3.9826554942,4.0085546337,4.100686466,4.1121137817,4.2281456197,4.3681817024,4.376972472,4.3671638256,4.2745772341,4.2866038567,4.3657429987,4.4853920803,4.5703981351,4.591019033,4.5454507967,4.6955493358,4.7163205434,4.8162567364,4.9360686811,5.0777504466,5.1642921206,5.1673384943,5.3016175582,5.2635912031,5.34450534,5.551455858,5.5645294241,5.485504893,5.5193041931,5.5901736225,5.6272061047,5.7535137033,5.851349556,5.9747845809,5.83143767,5.9931272973,6.1665167822,6.165400331
coalPrice-35,3.6,3.7067642609,3.7094135339,3.8392087126,3.9745477783,3.966339482,3.976378222,4.044255417,4.1875439348,4.173104545,4.2366980506,4.3674609433,4.2565273443,4.3112053314,4.3798983671,4.4189036911,4.4758254288,4.4245734973,4.4506233716,4.5316403296,4.535276977,4.6073246601,4.7100177528,4.6171403263,4.6339242699,4.5976917889,4.773274131,4.8917107344,4.9531565582,4.9871656911,5.0860941136,5.2776638429,5.1906687696,5.2514674807,5.3148699902,5.3374583712,5.2678213744,5.1398146626,5.063938027,5.1060247412,5.0608344762,5.1065771751,5.2444926901,5.3996020953,5.6440461774,5.6406279093,5.8892671815,5.9553791369,5.9990388167,6.0886065824
coalPrice-36,3.6,3.629916026,3.5298678826,3.5900580005,3.5322910407,3.531186963,3.5498054144,3.5478899272,3.5574538579,3.6740245842,3.6828570569,3.7983508133,3.8558087126,3.8222636004,3.9198964022,3.9726782526,4.1332917237,4.1483757073,4.2156274272,4.2122923127,4.1818876627,4.2203727866,4.2018692525,4.2465428518,4.3624794683,4.4493686188,4.4338378652,4.3944967215,4.536226202,4.5289836542,4.5879538423,4.6560566721,4.7911150686,4.9576550461,4.892862878,5.0249505685,5.0231536858,4.9844222953,5.0951026585,5.1857912165,5.2921620171,5.4683184815,5.5391754685,5.7114469314,5.9429987052,6.1878665657,6.0767880407,6.0068021337,5.9295807844,5.9332728456
coalPrice-37,3.6,3.6194377442,3.6757473257,3.6413432471,3.6238566926,3.6886417273,3.7879041727,3.8699586632,3.9731000038,4.0861547071,4.2065794476,4.2808810327,4.2930072766,4.398913186,4.5998143485,4.6860375094,4.7166918494,4.666877439,4.7440178429,4.7709478605,4.7875531636,4.7887970181,4.8653283607,5.0166254186,5.2308212349,5.3471824918,5.4531181159,5.4762263267,5.7034033842,5.6889476823,5.6349337753,5.8192276078,5.8119311184,5.9814686101,6.0471923666,6.3306438803,6.3410291508,6.3456124345,6.2894482885,6.2285055648,6.1930243038,6.4182913642,6.5654250426,6.423771605,6.6617192594,6.8783965428,6.9016362864,6.8586565044,6.9408975834,6.8665507886
coalPrice-38,3.6,3.6381071518,3.6779055612,3.6487286097,3.6117166314,3.7029463261,3.7137434793,3.7609966645,3.7443505113,3.7536517409,3.8283081717,3.8539038176,3.8812094098,3.9160043113,3.8474194099,3.8880306036,3.8948749722,3.9268006894,3.9870262996,3.977956992,4.0277707147,4.1621785934,4.2331278679,4.3428905019,4.3401153907,4.3622740687,4.4363849916,4.4261400774,4.5469552223,4.6726175188,4.6367041206,4.7905711824,5.0219794168,5.0682843677,5.058990362,5.035912165,4.9951079516,5.0886311987,5.1447675314,5.3058774322,5.386277316,5.2935159891,5.2143631726,5.2252711834,5.3564374433,5.3774231154,5.400132266,5.3137038259,5.3995964054,5.5162937547
coalPrice-39,3.6,3.6733067963,3.6157407969,3.6216407023,3.6694785794,3.6714856686,3.746899257,3.7126740038,3.6929092206,3.7638025692,3.9068057746,3.9685931812,3.9944772819,4.0640396985,3.9949667839,4.1368430163,4.1247286838,4.129855506,4.2457034809,4.4326822272,4.3838212357,4.3388936133,4.3325413569,4.3591693258,4.3820238684,4.5678915271,4.7230051304,4.6167342739,4.6445859089,4.6174595609,4.7018953702,4.7671510909,4.7079532623,4.7148468651,4.7087477287,4.6458782598,4.7181911829,4.7110312019,4.7549485356,4.7269507598,4.7053171625,4.9024555203,4.9417598341,5.1479734817,5.1207493241,5.0358863073,5.0029475542,5.1798149367,5.1641490701,5.3149678245
