hour,nl100,de100,frbelux100,nl92,de90,frbelux92,nl96,de95,frbelux96,uk100,uk94,uk97
36,14022,58350,83250,12900.24,52515,76590,13461.12,55432.5,79920,35371,33248.74,34309.87
37,13813,58446,84420,12707.96,52601.4,77666.4,13260.48,55523.7,81043.2,35366,33244.04,34305.02
38,13566,58011,82275,12480.72,52209.9,75693,13023.36,55110.45,78984,35281,33164.14,34222.57
39,13542,57017,79690,12458.64,51315.3,73314.8,13000.32,54166.15,76502.4,35831,33681.14,34756.07
40,13899,55770,77120,12787.08,50193,70950.4,13343.04,52981.5,74035.2,37185,34953.9,36069.45
41,14182,56859,76918,13047.44,51173.1,70764.56,13614.72,54016.05,73841.28,41869,39356.86,40612.93
42,15086,59224,81402,13879.12,53301.6,74889.84,14482.56,56262.8,78145.92,44677,41996.38,43336.69
43,14341,59478,85456,13193.72,53530.2,78619.52,13767.36,56504.1,82037.76,43752,41126.88,42439.44
44,13904,57265,85291,12791.68,51538.5,78467.72,13347.84,54401.75,81879.36,41457,38969.58,40213.29
45,13403,54888,81732,12330.76,49399.2,75193.44,12866.88,52143.6,78462.72,38576,36261.44,37418.72
46,12632,53277,77986,11621.44,47949.3,71747.12,12126.72,50613.15,74866.56,35637,33498.78,34567.89
47,11720,52592,79062,10782.4,47332.8,72737.04,11251.2,49962.4,75899.52,32479,30530.26,31504.63
48,10907,47936,80224,10034.44,43142.4,73806.08,10470.72,45539.2,77015.04,29461,27693.34,28577.17
49,10869,44514,76728,9999.48,40062.6,70589.76,10434.24,42288.3,73658.88,28302,26603.88,27452.94
50,10501,42804,73754,9660.92,38523.6,67853.68,10080.96,40663.8,70803.84,27608,25951.52,26779.76
51,10213,41199,71809,9395.96,37079.1,66064.28,9804.48,39139.05,68936.64,26248,24673.12,25460.56
52,10047,40274,68131,9243.24,36246.6,62680.52,9645.12,38260.3,65405.76,25167,23656.98,24411.99
53,9840,39691,66416,9052.8,35721.9,61102.72,9446.4,37706.45,63759.36,24327,22867.38,23597.19
54,10137,39866,66947,9326.04,35879.4,61591.24,9731.52,37872.7,64269.12,24596,23120.24,23858.12
55,10463,41833,68618,9625.96,37649.7,63128.56,10044.48,39741.35,65873.28,26542,24949.48,25745.74
56,11022,43941,70153,10140.24,39546.9,64540.76,10581.12,41743.95,67346.88,28861,27129.34,27995.17
57,11918,46584,72463,10964.56,41925.6,66665.96,11441.28,44254.8,69564.48,32134,30205.96,31169.98
58,12981,49102,75136,11942.52,44191.8,69125.12,12461.76,46646.9,72130.56,35946,33789.24,34867.62
59,13671,50842,77289,12577.32,45757.8,71105.88,13124.16,48299.9,74197.44,38309,36010.46,37159.73
60,14459,52840,78245,13302.28,47556,71985.4,13880.64,50198,75115.2,39325,36965.5,38145.25
61,14821,53722,79804,13635.32,48349.8,73419.68,14228.16,51035.9,76611.84,39663,37283.22,38473.11
62,14856,53654,78018,13667.52,48288.6,71776.56,14261.76,50971.3,74897.28,39131,36783.14,37957.07
63,15101,52645,75261,13892.92,47380.5,69240.12,14496.96,50012.75,72250.56,38478,36169.32,37323.66
64,15458,52415,72781,14221.36,47173.5,66958.52,14839.68,49794.25,69869.76,38739,36414.66,37576.83
65,15728,54662,72092,14469.76,49195.8,66324.64,15098.88,51928.9,69208.32,42154,39624.76,40889.38
66,16127,57756,74969,14836.84,51980.4,68971.48,15481.92,54868.2,71970.24,44970,42271.8,43620.9
67,15663,58146,78110,14409.96,52331.4,71861.2,15036.48,55238.7,74985.6,44052,41408.88,42730.44
68,14801,56229,77653,13616.92,50606.1,71440.76,14208.96,53417.55,74546.88,41741,39236.54,40488.77
69,13959,52532,74362,12842.28,47278.8,68413.04,13400.64,49905.4,71387.52,39174,36823.56,37998.78
70,13258,51354,70862,12197.36,46218.6,65193.04,12727.68,48786.3,68027.52,36478,34289.32,35383.66
71,12430,51075,71826,11435.6,45967.5,66079.92,11932.8,48521.25,68952.96,33873,31840.62,32856.81
72,11604,49192,73313,10675.68,44272.8,67447.96,11139.84,46732.4,70380.48,31177,29306.38,30241.69
73,11033,44957,70380,10150.36,40461.3,64749.6,10591.68,42709.15,67564.8,30310,28491.4,29400.7
74,10512,41795,67257,9671.04,37615.5,61876.44,10091.52,39705.25,64566.72,29417,27651.98,28534.49
75,9963,40282,64989,9165.96,36253.8,59789.88,9564.48,38267.9,62389.44,28097,26411.18,27254.09
76,9759,39447,61416,8978.28,35502.3,56502.72,9368.64,37474.65,58959.36,27064,25440.16,26252.08
77,9715,39643,59268,8937.8,35678.7,54526.56,9326.4,37660.85,56897.28,26238,24663.72,25450.86
78,9865,39222,59077,9075.8,35299.8,54350.84,9470.4,37260.9,56713.92,26122,24554.68,25338.34
79,10119,39016,60211,9309.48,35114.4,55394.12,9714.24,37065.2,57802.56,27068,25443.92,26255.96
80,10770,39937,61420,9908.4,35943.3,56506.4,10339.2,37940.15,58963.2,28256,26560.64,27408.32
81,11637,41363,63002,10706.04,37226.7,57961.84,11171.52,39294.85,60481.92,30451,28623.94,29537.47
82,12423,43653,65784,11429.16,39287.7,60521.28,11926.08,41470.35,63152.64,34099,32053.06,33076.03
83,13200,46024,68566,12144,41421.6,63080.72,12672,43722.8,65823.36,37047,34824.18,35935.59
84,13474,48667,70726,12396.08,43800.3,65067.92,12935.04,46233.65,67896.96,38685,36363.9,37524.45
85,13384,48895,73409,12313.28,44005.5,67536.28,12848.64,46450.25,70472.64,39642,37263.48,38452.74
86,13590,47961,71481,12502.8,43164.9,65762.52,13046.4,45562.95,68621.76,39565,37191.1,38378.05
87,13787,46474,68484,12684.04,41826.6,63005.28,13235.52,44150.3,65744.64,39693,37311.42,38502.21
88,13938,46383,66263,12822.96,41744.7,60961.96,13380.48,44063.85,63612.48,40782,38335.08,39558.54
89,13947,48527,65899,12831.24,43674.3,60627.08,13389.12,46100.65,63263.04,44407,41742.58,43074.79
90,15051,52744,70786,13846.92,47469.6,65123.12,14448.96,50106.8,67954.56,46201,43428.94,44814.97
91,15183,53714,76578,13968.36,48342.6,70451.76,14575.68,51028.3,73514.88,45041,42338.54,43689.77
92,15016,52765,78302,13814.72,47488.5,72037.84,14415.36,50126.75,75169.92,42987,40407.78,41697.39
93,14561,50521,76201,13396.12,45468.9,70104.92,13978.56,47994.95,73152.96,40385,37961.9,39173.45
94,14015,49410,73231,12893.8,44469,67372.52,13454.4,46939.5,70301.76,37089,34863.66,35976.33
95,13172,49255,74088,12118.24,44329.5,68160.96,12645.12,46792.25,71124.48,33544,31531.36,32537.68
96,12148,47055,75481,11176.16,42349.5,69442.52,11662.08,44702.25,72461.76,29838,28047.72,28942.86
97,11476,44849,73007,10557.92,40364.1,67166.44,11016.96,42606.55,70086.72,29042,27299.48,28170.74
98,10890,42904,71095,10018.8,38613.6,65407.4,10454.4,40758.8,68251.2,28703,26980.82,27841.91
99,10460,42139,69741,9623.2,37925.1,64161.72,10041.6,40032.05,66951.36,27945,26268.3,27106.65
100,10373,41710,66837,9543.16,37539,61490.04,9958.08,39624.5,64163.52,27237,25602.78,26419.89
101,10550,43188,66266,9706,38869.2,60964.72,10128,41028.6,63615.36,26534,24941.96,25737.98
102,11098,46524,69647,10210.16,41871.6,64075.24,10654.08,44197.8,66861.12,27838,26167.72,27002.86
103,13000,51016,77342,11960,45914.4,71154.64,12480,48465.2,74248.32,33303,31304.82,32303.91
104,15444,55776,85611,14208.48,50198.4,78762.12,14826.24,52987.2,82186.56,39923,37527.62,38725.31
105,17614,59321,88931,16204.88,53388.9,81816.52,16909.44,56354.95,85373.76,42589,40033.66,41311.33
106,18253,60004,89512,16792.76,54003.6,82351.04,17522.88,57003.8,85931.52,44093,41447.42,42770.21
107,18511,60799,89597,17030.12,54719.1,82429.24,17770.56,57759.05,86013.12,44749,42064.06,43406.53
108,18724,60862,89861,17226.08,54775.8,82672.12,17975.04,57818.9,86266.56,45121,42413.74,43767.37
109,17579,60838,89767,16172.68,54754.2,82585.64,16875.84,57796.1,86176.32,45358,42636.52,43997.26
110,18717,59853,88329,17219.64,53867.7,81262.68,17968.32,56860.35,84795.84,45175,42464.5,43819.75
111,18950,58912,86580,17434,53020.8,79653.6,18192,55966.4,83116.8,45272,42555.68,43913.84
112,18827,57927,84317,17320.84,52134.3,77571.64,18073.92,55030.65,80944.32,45821,43071.74,44446.37
113,18997,59251,84486,17477.24,53325.9,77727.12,18237.12,56288.45,81106.56,48603,45686.82,47144.91
114,19272,62605,88993,17730.24,56344.5,81873.56,18501.12,59474.75,85433.28,49329,46369.26,47849.13
115,18341,62763,93515,16873.72,56486.7,86033.8,17607.36,59624.85,89774.4,48866,45934.04,47400.02
116,17569,61215,93350,16163.48,55093.5,85882,16866.24,58154.25,89616,46969,44150.86,45559.93
117,16884,57003,88922,15533.28,51302.7,81808.24,16208.64,54152.85,85365.12,43721,41097.74,42409.37
118,15951,55057,83806,14674.92,49551.3,77101.52,15312.96,52304.15,80453.76,39479,37110.26,38294.63
119,14697,54043,84105,13521.24,48638.7,77376.6,14109.12,51340.85,80740.8,34958,32860.52,33909.26
120,13708,49870,84761,12611.36,44883,77980.12,13159.68,47376.5,81370.56,30622,28784.68,29703.34
121,12772,47115,81446,11750.24,42403.5,74930.32,12261.12,44759.25,78188.16,29680,27899.2,28789.6
122,12082,46075,78850,11115.44,41467.5,72542,11598.72,43771.25,75696,29282,27525.08,28403.54
123,11748,45184,77461,10808.16,40665.6,71264.12,11278.08,42924.8,74362.56,28205,26512.7,27358.85
124,11645,45096,74445,10713.4,40586.4,68489.4,11179.2,42841.2,71467.2,27267,25630.98,26448.99
125,11709,45429,73696,10772.28,40886.1,67800.32,11240.64,43157.55,70748.16,26490,24900.6,25695.3
126,12060,45912,76735,11095.2,41320.8,70596.2,11577.6,43616.4,73665.6,27579,25924.26,26751.63
127,13426,48943,84013,12351.92,44048.7,77291.96,12888.96,46495.85,80652.48,33192,31200.48,32196.24
128,15997,53417,91807,14717.24,48075.3,84462.44,15357.12,50746.15,88134.72,40220,37806.8,39013.4
129,18095,56070,94786,16647.4,50463,87203.12,17371.2,53266.5,90994.56,42495,39945.3,41220.15
130,18585,56250,94978,17098.2,50625,87379.76,17841.6,53437.5,91178.88,43373,40770.62,42071.81
131,18622,56755,93734,17132.24,51079.5,86235.28,17877.12,53917.25,89984.64,43492,40882.48,42187.24
132,18387,57782,94665,16916.04,52003.8,87091.8,17651.52,54892.9,90878.4,43357,40755.58,42056.29
133,18312,57643,94299,16847.04,51878.7,86755.08,17579.52,54760.85,90527.04,43184,40592.96,41888.48
134,18192,56945,92609,16736.64,51250.5,85200.28,17464.32,54097.75,88904.64,42769,40202.86,41485.93
135,18527,55719,90927,17044.84,50147.1,83652.84,17785.92,52933.05,87289.92,42776,40209.44,41492.72
136,18547,56079,88508,17063.24,50471.1,81427.36,17805.12,53275.05,84967.68,43491,40881.54,42186.27
137,18692,58536,88358,17196.64,52682.4,81289.36,17944.32,55609.2,84823.68,47589,44733.66,46161.33
138,19266,63541,92187,17724.72,57186.9,84812.04,18495.36,60363.95,88499.52,49361,46399.34,47880.17
139,18193,63885,96028,16737.56,57496.5,88345.76,17465.28,60690.75,92186.88,49223,46269.62,47746.31
140,17500,62564,95219,16100,56307.6,87601.48,16800,59435.8,91410.24,47634,44775.96,46204.98
141,16412,59152,90117,15099.04,53236.8,82907.64,15755.52,56194.4,86512.32,44584,41908.96,43246.48
142,15169,56998,84694,13955.48,51298.2,77918.48,14562.24,54148.1,81306.24,40521,38089.74,39305.37
143,14013,54681,84532,12891.96,49212.9,77769.44,13452.48,51946.95,81150.72,35871,33718.74,34794.87
144,13140,51411,84913,12088.8,46269.9,78119.96,12614.4,48840.45,81516.48,31592,29696.48,30644.24
145,9597,47777,81500,8829.24,42999.3,74980,9213.12,45388.15,78240,30725,28881.5,29803.25
146,8933,45654,78526,8218.36,41088.6,72243.92,8575.68,43371.3,75384.96,30155,28345.7,29250.35
147,8625,45283,76938,7935,40754.7,70782.96,8280,43018.85,73860.48,29086,27340.84,28213.42
148,8524,45484,73966,7842.08,40935.6,68048.72,8183.04,43209.8,71007.36,28164,26474.16,27319.08
149,8612,45851,73259,7923.04,41265.9,67398.28,8267.52,43558.45,70328.64,27230,25596.2,26413.1
150,9099,48215,76336,8371.08,43393.5,70229.12,8735.04,45804.25,73282.56,28154,26464.76,27309.38
151,10603,54362,83271,9754.76,48925.8,76609.32,10178.88,51643.9,79940.16,33625,31607.5,32616.25
152,13076,60293,91010,12029.92,54263.7,83729.2,12552.96,57278.35,87369.6,40743,38298.42,39520.71
153,14724,63625,94247,13546.08,57262.5,86707.24,14135.04,60443.75,90477.12,42418,39872.92,41145.46
154,15013,6407,93824,13811.96,5766.3,86318.08,14412.48,6086.65,90071.04,43335,40734.9,42034.95
155,14963,64523,92950,13765.96,58070.7,85514,14364.48,61296.85,89232,43674,41053.56,42363.78
156,14813,65860,92651,13627.96,59274,85238.92,14220.48,62567,88944.96,44030,41388.2,42709.1
157,14480,65715,92309,13321.6,59143.5,84924.28,13900.8,62429.25,88616.64,44341,41680.54,43010.77
158,14548,65418,90482,13384.16,58876.2,83243.44,13966.08,62147.1,86862.72,44122,41474.68,42798.34
159,14624,64457,88584,13454.08,58011.3,81497.28,14039.04,61234.15,85040.64,44133,41485.02,42809.01
160,14697,62593,86309,13521.24,56333.7,79404.28,14109.12,59463.35,82856.64,44717,42033.98,43375.49
161,15107,63142,86002,13898.44,56827.8,79121.84,14502.72,59984.9,82561.92,48571,45656.74,47113.87
162,16164,67115,89690,14870.88,60403.5,82514.8,15517.44,63759.25,86102.4,49570,46595.8,48082.9
163,15373,66973,93818,14143.16,60275.7,86312.56,14758.08,63624.35,90065.28,48342,45441.48,46891.74
164,14764,65522,93080,13582.88,58969.8,85633.6,14173.44,62245.9,89356.8,45960,43202.4,44581.2
165,13855,61823,88112,12746.6,55640.7,81063.04,13300.8,58731.85,84587.52,42857,40285.58,41571.29
166,12869,59937,83511,11839.48,53943.3,76830.12,12354.24,56940.15,80170.56,38632,36314.08,37473.04
167,11683,58536,82976,10748.36,52682.4,76337.92,11215.68,55609.2,79656.96,34378,32315.32,33346.66
168,10659,54721,83453,9806.28,49248.9,76776.76,10232.64,51984.95,80114.88,30197,28385.18,29291.09
169,10797,52417,79784,9933.24,47175.3,73401.28,10365.12,49796.15,76592.64,29071,27326.74,28198.87
170,10027,50580,76854,9224.84,45522,70705.68,9625.92,48051,73779.84,28766,27040.04,27903.02
171,9454,49677,75109,8697.68,44709.3,69100.28,9075.84,47193.15,72104.64,27771,26104.74,26937.87
172,9476,49341,71603,8717.92,44406.9,65874.76,9096.96,46873.95,68738.88,27037,25414.78,26225.89
173,9312,49952,70605,8567.04,44956.8,64956.6,8939.52,47454.4,67780.8,26410,24825.4,25617.7
174,9781,51868,73391,8998.52,46681.2,67519.72,9389.76,49274.6,70455.36,27877,26204.38,27040.69
175,11354,57921,80386,10445.68,52128.9,73955.12,10899.84,55024.95,77170.56,33480,31471.2,32475.6
176,13441,63860,87705,12365.72,57474,80688.6,12903.36,60667,84196.8,40734,38289.96,39511.98
177,14920,65845,90071,13726.4,59260.5,82865.32,14323.2,62552.75,86468.16,42896,40322.24,41609.12
178,15444,65946,89967,14208.48,59351.4,82769.64,14826.24,62648.7,86368.32,43824,41194.56,42509.28
179,15660,65953,89345,14407.2,59357.7,82197.4,15033.6,62655.35,85771.2,43873,41240.62,42556.81
180,15894,66511,89431,14622.48,59859.9,82276.52,15258.24,63185.45,85853.76,43459,40851.46,42155.23
181,15829,65669,88716,14562.68,59102.1,81618.72,15195.84,62385.55,85167.36,43027,40445.38,41736.19
182,15933,64676,86586,14658.36,58208.4,79659.12,15295.68,61442.2,83122.56,42032,39510.08,40771.04
183,15817,63879,85517,14551.64,57491.1,78675.64,15184.32,60685.05,82096.32,42080,39555.2,40817.6
184,15860,63921,83164,14591.2,57528.9,76510.88,15225.6,60724.95,79837.44,42867,40294.98,41580.99
185,16098,64399,82589,14810.16,57959.1,75981.88,15454.08,61179.05,79285.44,46819,44009.86,45414.43
186,16610,65906,86275,15281.2,59315.4,79373,15945.6,62610.7,82824,48919,45983.86,47451.43
187,15949,65723,90253,14673.08,59150.7,83032.76,15311.04,62436.85,86642.88,48458,45550.52,47004.26
188,15354,64036,89290,14125.68,57632.4,82146.8,14739.84,60834.2,85718.4,46441,43654.54,45047.77
189,14468,61114,84539,13310.56,55002.6,77775.88,13889.28,58058.3,81157.44,42912,40337.28,41624.64
190,13324,58312,80098,12258.08,52480.8,73690.16,12791.04,55396.4,76894.08,38553,36239.82,37396.41
191,12140,57287,79885,11168.8,51558.3,73494.2,11654.4,54422.65,76689.6,34301,32242.94,33271.97
192,11063,53880,80362,10177.96,48492,73933.04,10620.48,51186,77147.52,30479,28650.26,29564.63
193,9916,51464,76414,9122.72,46317.6,70300.88,9519.36,48890.8,73357.44,29271,27514.74,28392.87
194,9232,50224,73321,8493.44,45201.6,67455.32,8862.72,47712.8,70388.16,28722,26998.68,27860.34
195,8871,48765,71540,8161.32,43888.5,65816.8,8516.16,46326.75,68678.4,27743,26078.42,26910.71
196,8707,48800,68419,8010.44,43920,62945.48,8358.72,46360,65682.24,26940,25323.6,26131.8
197,8773,49779,67451,8071.16,44801.1,62054.92,8422.08,47290.05,64752.96,26142,24573.48,25357.74
198,9251,52345,70201,8510.92,47110.5,64584.92,8880.96,49727.75,67392.96,27263,25627.22,26445.11
199,10760,57950,76789,9899.2,52155,70645.88,10329.6,55052.5,73717.44,32576,30621.44,31598.72
200,13174,63271,84158,12120.08,56943.9,77425.36,12647.04,60107.45,80791.68,39577,37202.38,38389.69
201,14883,67718,86628,13692.36,60946.2,79697.76,14287.68,64332.1,83162.88,41450,38963,40206.5
202,15442,68516,86215,14206.64,61664.4,79317.8,14824.32,65090.2,82766.4,41678,39177.32,40427.66
203,15549,68693,85773,14305.08,61823.7,78911.16,14927.04,65258.35,82342.08,41172,38701.68,39936.84
204,15556,68216,85902,14311.52,61394.4,79029.84,14933.76,64805.2,82465.92,40960,38502.4,39731.2
205,15305,68253,85353,14080.6,61427.7,78524.76,14692.8,64840.35,81938.88,41234,38759.96,39996.98
206,15253,67452,83377,14032.76,60706.8,76706.84,14642.88,64079.4,80041.92,41493,39003.42,40248.21
207,15053,65878,81450,13848.76,59290.2,74934,14450.88,62584.1,78192,41992,39472.48,40732.24
208,14971,65424,78978,13773.32,58881.6,72659.76,14372.16,62152.8,75818.88,42618,40060.92,41339.46
209,15289,65708,78168,14065.88,59137.2,71914.56,14677.44,62422.6,75041.28,45841,43090.54,44465.77
210,15875,69259,80802,14605,62333.1,74337.84,15240,65796.05,77569.92,47008,44187.52,45597.76
211,15237,68070,84099,14018.04,61263,77371.08,14627.52,64666.5,80735.04,45599,42863.06,44231.03
212,14494,64639,82762,13334.48,58175.1,76141.04,13914.24,61407.05,79451.52,42754,40188.76,41471.38
213,13584,61547,78249,12497.28,55392.3,71989.08,13040.64,58469.65,75119.04,39544,37171.36,38357.68
214,12531,59385,74116,11528.52,53446.5,68186.72,12029.76,56415.75,71151.36,35991,33831.54,34911.27
215,11528,56093,74165,10605.76,50483.7,68231.8,11066.88,53288.35,71198.4,32599,30643.06,31621.03
216,10719,52122,74712,9861.48,46909.8,68735.04,10290.24,49515.9,71723.52,29287,27529.78,28408.39
217,9853,48252,70251,9064.76,43426.8,64630.92,9458.88,45839.4,67440.96,28315,26616.1,27465.55
218,9051,45822,66352,8326.92,41239.8,61043.84,8688.96,43530.9,63697.92,27416,25771.04,26593.52
219,8581,43749,63754,7894.52,39374.1,58653.68,8237.76,41561.55,61203.84,25856,24304.64,25080.32
220,8330,43318,60167,7663.6,38986.2,55353.64,7996.8,41152.1,57760.32,24855,23363.7,24109.35
221,8219,43257,58011,7561.48,38931.3,53370.12,7890.24,41094.15,55690.56,23838,22407.72,23122.86
222,8346,44124,58683,7678.32,39711.6,53988.36,8012.16,41917.8,56335.68,24030,22588.2,23309.1
223,8831,45226,60908,8124.52,40703.4,56035.36,8477.76,42964.7,58471.68,26037,24474.78,25255.89
224,9832,49437,63575,9045.44,44493.3,58489,9438.72,46965.15,61032,28879,27146.26,28012.63
225,11099,53615,66570,10211.08,48253.5,61244.4,10655.04,50934.25,63907.2,32009,30088.46,31048.73
226,12161,55658,69236,11188.12,50092.2,63697.12,11674.56,52875.1,66466.56,34870,32777.8,33823.9
227,12802,57364,70516,11777.84,51627.6,64874.72,12289.92,54495.8,67695.36,36151,33981.94,35066.47
228,13010,59478,71147,11969.2,53530.2,65455.24,12489.6,56504.1,68301.12,36699,34497.06,35598.03
229,13003,59609,72575,11962.76,53648.1,66769,12482.88,56628.55,69672,36390,34206.6,35298.3
230,12923,58233,70584,11889.16,52409.7,64937.28,12406.08,55321.35,67760.64,35704,33561.76,34632.88
231,12723,56549,68233,11705.16,50894.1,62774.36,12214.08,53721.55,65503.68,35430,33304.2,34367.1
232,12552,55141,66039,11547.84,49626.9,60755.88,12049.92,52383.95,63397.44,36170,33999.8,35084.9
233,12654,56023,65419,11641.68,50420.7,60185.48,12147.84,53221.85,62802.24,39796,37408.24,38602.12
234,13797,59826,68855,12693.24,53843.4,63346.6,13245.12,56834.7,66100.8,43299,40701.06,42000.03
235,13601,60016,73209,12512.92,54014.4,67352.28,13056.96,57015.2,70280.64,42937,40360.78,41648.89
236,13058,58611,73360,12013.36,52749.9,67491.2,12535.68,55680.45,70425.6,40192,37780.48,38986.24
237,12297,54983,69413,11313.24,49484.7,63859.96,11805.12,52233.85,66636.48,37445,35198.3,36321.65
238,11478,53490,65358,10559.76,48141,60129.36,11018.88,50815.5,62743.68,34889,32795.66,33842.33
239,10813,52840,68419,9947.96,47556,62945.48,10380.48,50198,65682.24,32375,30432.5,31403.75
240,10077,50440,70813,9270.84,45396,65147.96,9673.92,47918,67980.48,29646,27867.24,28756.62
241,9351,46824,67901,8602.92,42141.6,62468.92,8976.96,44482.8,65184.96,28752,27026.88,27889.44
242,8682,44111,64974,7987.44,39699.9,59776.08,8334.72,41905.45,62375.04,27747,26082.18,26914.59
243,8250,42367,62741,7590,38130.3,57721.72,7920,40248.65,60231.36,26256,24680.64,25468.32
244,8020,41828,59250,7378.4,37645.2,54510,7699.2,39736.6,56880,25162,23652.28,24407.14
245,7930,41674,57556,7295.6,37506.6,52951.52,7612.8,39590.3,55253.76,24145,22696.3,23420.65
246,8036,41259,57610,7393.12,37133.1,53001.2,7714.56,39196.05,55305.6,24022,22580.68,23301.34
247,8258,40605,59024,7597.36,36544.5,54302.08,7927.68,38574.75,56663.04,25163,23653.22,24408.11
248,8814,41598,60510,8108.88,37438.2,55669.2,8461.44,39518.1,58089.6,26772,25165.68,25968.84
249,9665,44319,62822,8891.8,39887.1,57796.24,9278.4,42103.05,60309.12,29297,27539.18,28418.09
250,10427,46963,66374,9592.84,42266.7,61064.08,10009.92,44614.85,63719.04,32831,30861.14,31846.07
251,11100,50445,68768,10212,45400.5,63266.56,10656,47922.75,66017.28,35269,33152.86,34210.93
252,11402,52695,70017,10489.84,47425.5,64415.64,10945.92,50060.25,67216.32,36265,34089.1,35177.05
253,11627,52932,71929,10696.84,47638.8,66174.68,11161.92,50285.4,69051.84,37377,35134.38,36255.69
254,11601,52168,69307,10672.92,46951.2,63762.44,11136.96,49559.6,66534.72,37770,35503.8,36636.9
255,11525,51072,65950,10603,45964.8,60674,11064,48518.4,63312,37962,35684.28,36823.14
256,11480,50558,63486,10561.6,45502.2,58407.12,11020.8,48030.1,60946.56,39099,36753.06,37926.03
257,11910,52477,63555,10957.2,47229.3,58470.6,11433.6,49853.15,61012.8,42452,39904.88,41178.44
258,13288,57836,68594,12224.96,52052.4,63106.48,12756.48,54944.2,65850.24,44352,41690.88,43021.44
259,13280,58884,75046,12217.6,52995.6,69042.32,12748.8,55939.8,72044.16,43107,40520.58,41813.79
260,12959,56555,76774,11922.28,50899.5,70632.08,12440.64,53727.25,73703.04,40781,38334.14,39557.57
